x,y,z,date,scanner1,scanner2,scanner3,scanner4
1,2,1,2021-08-01 21:09:37.620000,-90,-87,-65,-51
1,2,1,2021-08-01 21:09:37.620000,-88,-87,-72,-51
1,2,1,2021-08-01 21:09:37.620000,-90,-92,-71,-52
1,2,1,2021-08-01 21:09:37.620000,-89,-255,-67,-53
1,2,1,2021-08-01 21:09:37.620000,-255,-255,-255,-52
1,2,1,2021-08-01 21:09:37.620000,-91,-87,-66,-61
1,2,1,2021-08-01 21:09:37.620000,-89,-85,-67,-61
1,2,1,2021-08-01 21:09:37.620000,-95,-90,-67,-60
1,2,1,2021-08-01 21:09:37.620000,-83,-88,-66,-61
1,2,1,2021-08-01 21:09:37.620000,-90,-82,-74,-54
1,2,1,2021-08-01 21:09:37.620000,-84,-91,-255,-255
1,2,1,2021-08-01 21:09:37.620000,-95,-85,-255,-255
1,2,1,2021-08-01 21:09:37.620000,-90,-255,-255,-255
2,2,1,2021-08-01 21:10:37.620000,-91,-84,-66,-53
2,2,1,2021-08-01 21:10:37.620000,-92,-88,-66,-59
2,2,1,2021-08-01 21:10:37.620000,-89,-90,-66,-54
2,2,1,2021-08-01 21:10:37.620000,-90,-255,-63,-58
2,2,1,2021-08-01 21:10:37.620000,-83,-255,-65,-59
2,2,1,2021-08-01 21:10:37.620000,-255,-255,-65,-59
2,2,1,2021-08-01 21:10:37.620000,-255,-255,-255,-59
2,2,1,2021-08-01 21:10:37.620000,-92,-88,-69,-53
2,2,1,2021-08-01 21:10:37.620000,-88,-255,-92,-58
2,2,1,2021-08-01 21:10:37.620000,-91,-255,-67,-51
2,2,1,2021-08-01 21:10:37.620000,-89,-255,-68,-59
2,2,1,2021-08-01 21:10:37.620000,-88,-255,-255,-58
2,2,1,2021-08-01 21:10:37.620000,-255,-255,-255,-59
2,2,1,2021-08-01 21:10:37.620000,-255,-255,-255,-60
2,2,1,2021-08-01 21:11:37.620000,-89,-82,-66,-60
2,2,1,2021-08-01 21:11:37.620000,-91,-82,-67,-61
2,2,1,2021-08-01 21:11:37.620000,-90,-89,-63,-54
2,2,1,2021-08-01 21:11:37.620000,-91,-82,-66,-54
2,2,1,2021-08-01 21:11:37.620000,-255,-82,-63,-59
2,2,1,2021-08-01 21:11:37.620000,-255,-255,-65,-53
2,2,1,2021-08-01 21:11:37.620000,-91,-87,-67,-51
2,2,1,2021-08-01 21:11:37.620000,-87,-89,-71,-51
2,2,1,2021-08-01 21:11:37.620000,-88,-255,-67,-53
2,2,1,2021-08-01 21:11:37.620000,-255,-255,-70,-53
2,2,1,2021-08-01 21:11:37.620000,-255,-255,-67,-58
2,2,1,2021-08-01 21:11:37.620000,-255,-255,-67,-255
2,2,1,2021-08-01 21:12:37.620000,-84,-85,-66,-62
2,2,1,2021-08-01 21:12:37.620000,-92,-81,-65,-59
2,2,1,2021-08-01 21:12:37.620000,-84,-91,-63,-59
2,2,1,2021-08-01 21:12:37.620000,-88,-85,-63,-59
2,2,1,2021-08-01 21:12:37.620000,-91,-90,-64,-60
2,2,1,2021-08-01 21:12:37.620000,-255,-255,-66,-255
2,2,1,2021-08-01 21:12:37.620000,-90,-90,-67,-93
2,2,1,2021-08-01 21:12:37.620000,-90,-255,-70,-58
2,2,1,2021-08-01 21:12:37.620000,-94,-255,-71,-58
2,2,1,2021-08-01 21:12:37.620000,-88,-255,-70,-52
2,2,1,2021-08-01 21:12:37.620000,-255,-255,-68,-52
2,2,1,2021-08-01 21:12:37.620000,-255,-255,-255,-54
1,2,1,2021-08-01 21:13:37.620000,-91,-255,-71,-52
1,2,1,2021-08-01 21:13:37.620000,-88,-255,-70,-53
1,2,1,2021-08-01 21:13:37.620000,-255,-255,-71,-53
1,2,1,2021-08-01 21:13:37.620000,-255,-255,-70,-59
1,2,1,2021-08-01 21:13:37.620000,-255,-255,-68,-58
1,2,1,2021-08-01 21:13:37.620000,-255,-255,-69,-52
1,2,1,2021-08-01 21:13:37.620000,-255,-255,-67,-255
1,2,1,2021-08-01 21:13:37.620000,-85,-255,-66,-54
1,2,1,2021-08-01 21:13:37.620000,-94,-255,-68,-54
1,2,1,2021-08-01 21:13:37.620000,-90,-255,-65,-54
1,2,1,2021-08-01 21:13:37.620000,-255,-255,-63,-59
1,2,1,2021-08-01 21:13:37.620000,-255,-255,-66,-60
1,2,1,2021-08-01 21:13:37.620000,-255,-255,-63,-255
3,2,1,2021-08-01 21:15:37.620000,-92,-255,-255,-69
3,2,1,2021-08-01 21:15:37.620000,-88,-255,-255,-66
3,2,1,2021-08-01 21:15:37.620000,-86,-255,-255,-60
3,2,1,2021-08-01 21:15:37.620000,-86,-255,-255,-61
3,2,1,2021-08-01 21:15:37.620000,-89,-255,-255,-64
3,2,1,2021-08-01 21:15:37.620000,-255,-255,-255,-68
3,2,1,2021-08-01 21:15:37.620000,-255,-255,-255,-68
3,2,1,2021-08-01 21:15:37.620000,-82,-255,-255,-75
3,2,1,2021-08-01 21:15:37.620000,-83,-255,-255,-80
3,2,1,2021-08-01 21:15:37.620000,-79,-255,-255,-86
3,2,1,2021-08-01 21:15:37.620000,-85,-255,-255,-71
3,2,1,2021-08-01 21:15:37.620000,-82,-255,-255,-71
3,2,1,2021-08-01 21:15:37.620000,-80,-255,-255,-65
3,2,1,2021-08-01 21:15:37.620000,-81,-255,-255,-64
3,2,1,2021-08-01 21:16:37.620000,-89,-96,-59,-68
3,2,1,2021-08-01 21:16:37.620000,-89,-95,-63,-68
3,2,1,2021-08-01 21:16:37.620000,-95,-87,-57,-68
3,2,1,2021-08-01 21:16:37.620000,-255,-92,-57,-60
3,2,1,2021-08-01 21:16:37.620000,-255,-86,-63,-60
3,2,1,2021-08-01 21:16:37.620000,-255,-255,-255,-64
3,2,1,2021-08-01 21:16:37.620000,-83,-93,-45,-83
3,2,1,2021-08-01 21:16:37.620000,-81,-79,-45,-84
