x,y,z,date,scanner1,scanner2,scanner3,scanner4,dist1,dist2,dist3,dist4
1,2,1,2021-08-01 21:09:37.620000,-90,-87,-65,-51,25.7434,20.4487,3.7786,1.2902
1,2,1,2021-08-01 21:09:37.620000,-88,-87,-72,-51,22.0800,20.4487,6.4665,1.2902
1,2,1,2021-08-01 21:09:37.620000,-90,-92,-71,-52,25.7434,30.0147,5.9887,1.3932
1,2,1,2021-08-01 21:09:37.620000,-89,-255,-67,-53,23.8415,50.0000,4.4055,1.5043
1,2,1,2021-08-01 21:09:37.620000,-255,-255,-255,-52,50.0000,50.0000,50.0000,1.3932
1,2,1,2021-08-01 21:09:37.620000,-91,-87,-66,-61,27.7971,20.4487,4.0801,2.7797
1,2,1,2021-08-01 21:09:37.620000,-89,-85,-67,-61,23.8415,17.5388,4.4055,2.7797
1,2,1,2021-08-01 21:09:37.620000,-95,-90,-67,-60,37.7862,25.7434,4.4055,2.5743
1,2,1,2021-08-01 21:09:37.620000,-83,-88,-66,-61,15.0430,22.0800,4.0801,2.7797
1,2,1,2021-08-01 21:09:37.620000,-90,-82,-74,-54,25.7434,13.9316,7.5393,1.6243
1,2,1,2021-08-01 21:09:37.620000,-84,-91,-255,-255,16.2430,27.7971,50.0000,50.0000
1,2,1,2021-08-01 21:09:37.620000,-95,-85,-255,-255,37.7862,17.5388,50.0000,50.0000
1,2,1,2021-08-01 21:09:37.620000,-90,-255,-255,-255,25.7434,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:10:37.620000,-91,-84,-66,-53,27.7971,16.2430,4.0801,1.5043
2,2,1,2021-08-01 21:10:37.620000,-92,-88,-66,-59,30.0147,22.0800,4.0801,2.3841
2,2,1,2021-08-01 21:10:37.620000,-89,-90,-66,-54,23.8415,25.7434,4.0801,1.6243
2,2,1,2021-08-01 21:10:37.620000,-90,-255,-63,-58,25.7434,50.0000,3.2409,2.2080
2,2,1,2021-08-01 21:10:37.620000,-83,-255,-65,-59,15.0430,50.0000,3.7786,2.3841
2,2,1,2021-08-01 21:10:37.620000,-255,-255,-65,-59,50.0000,50.0000,3.7786,2.3841
2,2,1,2021-08-01 21:10:37.620000,-255,-255,-255,-59,50.0000,50.0000,50.0000,2.3841
2,2,1,2021-08-01 21:10:37.620000,-92,-88,-69,-53,30.0147,22.0800,5.1365,1.5043
2,2,1,2021-08-01 21:10:37.620000,-88,-255,-92,-58,22.0800,50.0000,30.0147,2.2080
2,2,1,2021-08-01 21:10:37.620000,-91,-255,-67,-51,27.7971,50.0000,4.4055,1.2902
