x,y,z,date,scanner1,scanner2,scanner3,scanner4,dist1,dist2,dist3,dist4

0,3,1,2021-08-01 23:36:37.620000,-93,-91,-255,-255,32.4091,27.7971,50.0000,50.0000
0,3,1,2021-08-01 23:36:37.620000,-255,-96,-255,-255,50.0000,40.8006,50.0000,50.0000
0,3,1,2021-08-01 23:36:37.620000,-255,-91,-255,-255,50.0000,27.7971,50.0000,50.0000
0,3,1,2021-08-01 23:36:37.620000,-255,-90,-255,-255,50.0000,25.7434,50.0000,50.0000
0,3,1,2021-08-01 23:36:37.620000,-91,-95,-255,-255,27.7971,37.7862,50.0000,50.0000
0,3,1,2021-08-01 23:36:37.620000,-255,-93,-255,-255,50.0000,32.4091,50.0000,50.0000
0,3,1,2021-08-01 23:36:37.620000,-255,-91,-255,-255,50.0000,27.7971,50.0000,50.0000
0,3,1,2021-08-01 23:36:37.620000,-255,-85,-255,-255,50.0000,17.5388,50.0000,50.0000
0,2,1,2021-08-01 23:37:37.620000,-89,-93,-77,-255,23.8415,32.4091,9.4915,50.0000
0,2,1,2021-08-01 23:37:37.620000,-95,-91,-80,-255,37.7862,27.7971,11.9490,50.0000
0,2,1,2021-08-01 23:37:37.620000,-92,-255,-89,-255,30.0147,50.0000,23.8415,50.0000
0,2,1,2021-08-01 23:37:37.620000,-255,-255,-79,-255,50.0000,50.0000,11.0662,50.0000
0,2,1,2021-08-01 23:37:37.620000,-255,-255,-79,-255,50.0000,50.0000,11.0662,50.0000
0,2,1,2021-08-01 23:37:37.620000,-255,-255,-72,-255,50.0000,50.0000,6.4665,50.0000
0,2,1,2021-08-01 23:37:37.620000,-94,-94,-84,-255,34.9945,34.9945,16.2430,50.0000
0,2,1,2021-08-01 23:37:37.620000,-90,-93,-74,-255,25.7434,32.4091,7.5393,50.0000
0,2,1,2021-08-01 23:37:37.620000,-88,-94,-71,-255,22.0800,34.9945,5.9887,50.0000
0,2,1,2021-08-01 23:37:37.620000,-89,-255,-255,-255,23.8415,50.0000,50.0000,50.0000
0,2,1,2021-08-01 23:38:37.620000,-88,-255,-80,-52,22.0800,50.0000,11.9490,1.3932
0,2,1,2021-08-01 23:38:37.620000,-92,-255,-81,-59,30.0147,50.0000,12.9023,2.3841
0,2,1,2021-08-01 23:38:37.620000,-92,-255,-71,-60,30.0147,50.0000,5.9887,2.5743
0,2,1,2021-08-01 23:38:37.620000,-91,-255,-77,-58,27.7971,50.0000,9.4915,2.2080
