x,y,z,date,scanner1,scanner2,scanner3,scanner4
4,7,1,2021-08-01 22:35:25.992000,-72,-51,-69,-84
4,7,1,2021-08-01 22:35:25.992000,-66,-66,-77,-87
4,7,1,2021-08-01 22:35:25.992000,-84,-255,-82,-82
4,7,1,2021-08-01 22:35:25.992000,-89,-255,-70,-81
4,7,1,2021-08-01 22:35:25.992000,-84,-255,-83,-86
4,7,1,2021-08-01 22:35:25.992000,-66,-255,-71,-82
4,7,1,2021-08-01 22:35:25.992000,-71,-255,-85,-255
4,7,1,2021-08-01 22:35:25.992000,-75,-56,-74,-86
4,7,1,2021-08-01 22:35:25.992000,-84,-72,-75,-83
4,7,1,2021-08-01 22:35:25.992000,-71,-56,-74,-86
4,7,1,2021-08-01 22:35:25.992000,-255,-62,-73,-77
4,7,1,2021-08-01 22:35:25.992000,-255,-255,-73,-78
4,7,1,2021-08-01 22:35:25.992000,-255,-255,-255,-78
4,7,1,2021-08-01 22:39:25.992000,-86,-52,-71,-85
4,7,1,2021-08-01 22:39:25.992000,-67,-51,-83,-84
4,7,1,2021-08-01 22:39:25.992000,-71,-62,-94,-255
4,7,1,2021-08-01 22:39:25.992000,-255,-63,-81,-255
4,7,1,2021-08-01 22:39:25.992000,-255,-51,-78,-255
4,7,1,2021-08-01 22:39:25.992000,-73,-57,-74,-86
4,7,1,2021-08-01 22:39:25.992000,-255,-60,-73,-86
4,7,1,2021-08-01 22:39:25.992000,-255,-72,-78,-78
4,7,1,2021-08-01 22:39:25.992000,-255,-255,-74,-87
4,6,1,2021-08-01 22:22:25.992000,-90,-64,-255,-74
4,6,1,2021-08-01 22:22:25.992000,-77,-90,-255,-75
4,6,1,2021-08-01 22:22:25.992000,-69,-61,-255,-82
4,6,1,2021-08-01 22:22:25.992000,-76,-65,-255,-89
4,6,1,2021-08-01 22:22:25.992000,-70,-65,-255,-255
4,6,1,2021-08-01 22:22:25.992000,-67,-59,-255,-78
4,6,1,2021-08-01 22:22:25.992000,-74,-65,-255,-78
4,6,1,2021-08-01 22:22:25.992000,-68,-58,-255,-82
4,6,1,2021-08-01 22:22:25.992000,-74,-59,-255,-79
4,6,1,2021-08-01 22:22:25.992000,-74,-255,-255,-80
4,6,1,2021-08-01 22:22:25.992000,-255,-255,-255,-82
4,6,1,2021-08-01 22:24:25.992000,-71,-64,-72,-91
4,6,1,2021-08-01 22:24:25.992000,-77,-64,-71,-83
4,6,1,2021-08-01 22:24:25.992000,-66,-65,-71,-74
4,6,1,2021-08-01 22:24:25.992000,-70,-67,-71,-74
4,6,1,2021-08-01 22:24:25.992000,-66,-69,-71,-88
