x,y,z,date,scanner1,scanner2,scanner3,scanner4,dist1,dist2,dist3,dist4
4,7,1,2021-08-01 22:35:25.992000,-72,-51,-69,-84,6.4665,1.2902,5.1365,16.2430
4,7,1,2021-08-01 22:35:25.992000,-66,-66,-77,-87,4.0801,4.0801,9.4915,20.4487
4,7,1,2021-08-01 22:35:25.992000,-84,-255,-82,-82,16.2430,50.0000,13.9316,13.9316
4,7,1,2021-08-01 22:35:25.992000,-89,-255,-70,-81,23.8415,50.0000,5.5463,12.9023
4,7,1,2021-08-01 22:35:25.992000,-84,-255,-83,-86,16.2430,50.0000,15.0430,18.9380
4,7,1,2021-08-01 22:35:25.992000,-66,-255,-71,-82,4.0801,50.0000,5.9887,13.9316
4,7,1,2021-08-01 22:35:25.992000,-71,-255,-85,-255,5.9887,50.0000,17.5388,50.0000
4,7,1,2021-08-01 22:35:25.992000,-75,-56,-74,-86,8.1408,1.8938,7.5393,18.9380
4,7,1,2021-08-01 22:35:25.992000,-84,-72,-75,-83,16.2430,6.4665,8.1408,15.0430
4,7,1,2021-08-01 22:35:25.992000,-71,-56,-74,-86,5.9887,1.8938,7.5393,18.9380
4,7,1,2021-08-01 22:35:25.992000,-255,-62,-73,-77,50.0000,3.0015,6.9823,9.4915
4,7,1,2021-08-01 22:35:25.992000,-255,-255,-73,-78,50.0000,50.0000,6.9823,10.2487
4,7,1,2021-08-01 22:35:25.992000,-255,-255,-255,-78,50.0000,50.0000,50.0000,10.2487
4,7,1,2021-08-01 22:39:25.992000,-86,-52,-71,-85,18.9380,1.3932,5.9887,17.5388
4,7,1,2021-08-01 22:39:25.992000,-67,-51,-83,-84,4.4055,1.2902,15.0430,16.2430
4,7,1,2021-08-01 22:39:25.992000,-71,-62,-94,-255,5.9887,3.0015,34.9945,50.0000
4,7,1,2021-08-01 22:39:25.992000,-255,-63,-81,-255,50.0000,3.2409,12.9023,50.0000
4,7,1,2021-08-01 22:39:25.992000,-255,-51,-78,-255,50.0000,1.2902,10.2487,50.0000
4,7,1,2021-08-01 22:39:25.992000,-73,-57,-74,-86,6.9823,2.0449,7.5393,18.9380
4,7,1,2021-08-01 22:39:25.992000,-255,-60,-73,-86,50.0000,2.5743,6.9823,18.9380
4,7,1,2021-08-01 22:39:25.992000,-255,-72,-78,-78,50.0000,6.4665,10.2487,10.2487
4,7,1,2021-08-01 22:39:25.992000,-255,-255,-74,-87,50.0000,50.0000,7.5393,20.4487
4,6,1,2021-08-01 22:22:25.992000,-90,-64,-255,-74,25.7434,3.4995,50.0000,7.5393
4,6,1,2021-08-01 22:22:25.992000,-77,-90,-255,-75,9.4915,25.7434,50.0000,8.1408
4,6,1,2021-08-01 22:22:25.992000,-69,-61,-255,-82,5.1365,2.7797,50.0000,13.9316
4,6,1,2021-08-01 22:22:25.992000,-76,-65,-255,-89,8.7902,3.7786,50.0000,23.8415
4,6,1,2021-08-01 22:22:25.992000,-70,-65,-255,-255,5.5463,3.7786,50.0000,50.0000
4,6,1,2021-08-01 22:22:25.992000,-67,-59,-255,-78,4.4055,2.3841,50.0000,10.2487
4,6,1,2021-08-01 22:22:25.992000,-74,-65,-255,-78,7.5393,3.7786,50.0000,10.2487
4,6,1,2021-08-01 22:22:25.992000,-68,-58,-255,-82,4.7570,2.2080,50.0000,13.9316
4,6,1,2021-08-01 22:22:25.992000,-74,-59,-255,-79,7.5393,2.3841,50.0000,11.0662
4,6,1,2021-08-01 22:22:25.992000,-74,-255,-255,-80,7.5393,50.0000,50.0000,11.9490
4,6,1,2021-08-01 22:22:25.992000,-255,-255,-255,-82,50.0000,50.0000,50.0000,13.9316
4,6,1,2021-08-01 22:24:25.992000,-71,-64,-72,-91,5.9887,3.4995,6.4665,27.7971
4,6,1,2021-08-01 22:24:25.992000,-77,-64,-71,-83,9.4915,3.4995,5.9887,15.0430
4,6,1,2021-08-01 22:24:25.992000,-66,-65,-71,-74,4.0801,3.7786,5.9887,7.5393
4,6,1,2021-08-01 22:24:25.992000,-70,-67,-71,-74,5.5463,4.4055,5.9887,7.5393
4,6,1,2021-08-01 22:24:25.992000,-66,-69,-71,-88,4.0801,5.1365,5.9887,22.0800
4,6,1,2021-08-01 22:24:25.992000,-74,-58,-75,-78,7.5393,2.2080,8.1408,10.2487
4,6,1,2021-08-01 22:24:25.992000,-68,-64,-78,-78,4.7570,3.4995,10.2487,10.2487
4,6,1,2021-08-01 22:24:25.992000,-68,-58,-81,-255,4.7570,2.2080,12.9023,50.0000
4,6,1,2021-08-01 22:24:25.992000,-74,-81,-75,-255,7.5393,12.9023,8.1408,50.0000
4,6,1,2021-08-01 22:24:25.992000,-72,-64,-255,-255,6.4665,3.4995,50.0000,50.0000
4,6,1,2021-08-01 22:24:25.992000,-68,-255,-255,-255,4.7570,50.0000,50.0000,50.0000
4,6,1,2021-08-01 22:26:25.992000,-80,-62,-69,-82,11.9490,3.0015,5.1365,13.9316
4,6,1,2021-08-01 22:26:25.992000,-67,-66,-68,-81,4.4055,4.0801,4.7570,12.9023
4,6,1,2021-08-01 22:26:25.992000,-68,-63,-70,-79,4.7570,3.2409,5.5463,11.0662
4,6,1,2021-08-01 22:26:25.992000,-68,-65,-70,-79,4.7570,3.7786,5.5463,11.0662
4,6,1,2021-08-01 22:26:25.992000,-67,-65,-69,-83,4.4055,3.7786,5.1365,15.0430
4,6,1,2021-08-01 22:26:25.992000,-68,-255,-255,-73,4.7570,50.0000,50.0000,6.9823
4,6,1,2021-08-01 22:26:25.992000,-255,-255,-255,-86,50.0000,50.0000,50.0000,18.9380
4,6,1,2021-08-01 22:26:25.992000,-68,-64,-81,-79,4.7570,3.4995,12.9023,11.0662
4,6,1,2021-08-01 22:26:25.992000,-74,-79,-76,-81,7.5393,11.0662,8.7902,12.9023
4,6,1,2021-08-01 22:26:25.992000,-72,-83,-77,-255,6.4665,15.0430,9.4915,50.0000
4,6,1,2021-08-01 22:26:25.992000,-74,-255,-76,-255,7.5393,50.0000,8.7902,50.0000
4,6,1,2021-08-01 22:26:25.992000,-71,-255,-84,-255,5.9887,50.0000,16.2430,50.0000
4,6,1,2021-08-01 22:26:25.992000,-255,-255,-89,-255,50.0000,50.0000,23.8415,50.0000
4,6,1,2021-08-01 22:26:25.992000,-255,-255,-79,-255,50.0000,50.0000,11.0662,50.0000
4,5,1,2021-08-01 22:12:25.992000,-69,-61,-75,-87,5.1365,2.7797,8.1408,20.4487
4,5,1,2021-08-01 22:12:25.992000,-68,-73,-72,-77,4.7570,6.9823,6.4665,9.4915
4,5,1,2021-08-01 22:12:25.992000,-72,-71,-74,-79,6.4665,5.9887,7.5393,11.0662
4,5,1,2021-08-01 22:12:25.992000,-66,-55,-73,-78,4.0801,1.7539,6.9823,10.2487
4,5,1,2021-08-01 22:12:25.992000,-94,-255,-75,-78,34.9945,50.0000,8.1408,10.2487
4,5,1,2021-08-01 22:12:25.992000,-68,-255,-255,-255,4.7570,50.0000,50.0000,50.0000
4,5,1,2021-08-01 22:12:25.992000,-69,-70,-61,-77,5.1365,5.5463,2.7797,9.4915
4,5,1,2021-08-01 22:12:25.992000,-77,-69,-58,-79,9.4915,5.1365,2.2080,11.0662
4,5,1,2021-08-01 22:12:25.992000,-73,-60,-61,-77,6.9823,2.5743,2.7797,9.4915
4,5,1,2021-08-01 22:12:25.992000,-69,-62,-61,-77,5.1365,3.0015,2.7797,9.4915
4,5,1,2021-08-01 22:12:25.992000,-69,-255,-255,-81,5.1365,50.0000,50.0000,12.9023
4,5,1,2021-08-01 22:12:25.992000,-73,-255,-255,-80,6.9823,50.0000,50.0000,11.9490
4,5,1,2021-08-01 22:12:25.992000,-75,-255,-255,-255,8.1408,50.0000,50.0000,50.0000
4,5,1,2021-08-01 22:12:25.992000,-73,-255,-255,-255,6.9823,50.0000,50.0000,50.0000
4,5,1,2021-08-01 22:13:25.992000,-67,-54,-86,-80,4.4055,1.6243,18.9380,11.9490
4,5,1,2021-08-01 22:13:25.992000,-87,-61,-73,-79,20.4487,2.7797,6.9823,11.0662
4,5,1,2021-08-01 22:13:25.992000,-68,-71,-93,-86,4.7570,5.9887,32.4091,18.9380
4,5,1,2021-08-01 22:13:25.992000,-71,-86,-74,-83,5.9887,18.9380,7.5393,15.0430
4,5,1,2021-08-01 22:13:25.992000,-76,-55,-70,-255,8.7902,1.7539,5.5463,50.0000
4,5,1,2021-08-01 22:13:25.992000,-68,-255,-255,-255,4.7570,50.0000,50.0000,50.0000
4,5,1,2021-08-01 22:13:25.992000,-67,-255,-255,-255,4.4055,50.0000,50.0000,50.0000
4,5,1,2021-08-01 22:13:25.992000,-72,-70,-58,-81,6.4665,5.5463,2.2080,12.9023
