x,y,z,date,scanner1,scanner2,scanner3,dist1,dist2,dist3
2,2,1,2021-08-01 21:06:53.308000,-83,-87,-73,15.0430,20.4487,6.9823
2,2,1,2021-08-01 21:06:53.308000,-94,-85,-74,34.9945,17.5388,7.5393
2,2,1,2021-08-01 21:06:53.308000,-83,-85,-68,15.0430,17.5388,4.7570
2,2,1,2021-08-01 21:06:53.308000,-92,-255,-74,30.0147,50.0000,7.5393
2,2,1,2021-08-01 21:06:53.308000,-255,-255,-70,50.0000,50.0000,5.5463
2,2,1,2021-08-01 21:06:53.308000,-87,-75,-76,20.4487,8.1408,8.7902
2,2,1,2021-08-01 21:06:53.308000,-86,-66,-71,18.9380,4.0801,5.9887
2,2,1,2021-08-01 21:06:53.308000,-87,-77,-82,20.4487,9.4915,13.9316
2,2,1,2021-08-01 21:06:53.308000,-87,-67,-77,20.4487,4.4055,9.4915
2,2,1,2021-08-01 21:06:53.308000,-255,-75,-82,50.0000,8.1408,13.9316
2,2,1,2021-08-01 21:06:53.308000,-255,-66,-76,50.0000,4.0801,8.7902
1,2,1,2021-08-01 21:07:53.308000,-87,-66,-76,20.4487,4.0801,8.7902
1,2,1,2021-08-01 21:07:53.308000,-86,-67,-77,18.9380,4.4055,9.4915
1,2,1,2021-08-01 21:07:53.308000,-87,-74,-82,20.4487,7.5393,13.9316
1,2,1,2021-08-01 21:07:53.308000,-88,-77,-70,22.0800,9.4915,5.5463
1,2,1,2021-08-01 21:07:53.308000,-255,-77,-255,50.0000,9.4915,50.0000
1,2,1,2021-08-01 21:07:53.308000,-84,-84,-73,16.2430,16.2430,6.9823
1,2,1,2021-08-01 21:07:53.308000,-95,-85,-69,37.7862,17.5388,5.1365
1,2,1,2021-08-01 21:07:53.308000,-93,-84,-73,32.4091,16.2430,6.9823
1,2,1,2021-08-01 21:07:53.308000,-255,-85,-69,50.0000,17.5388,5.1365
1,2,1,2021-08-01 21:07:53.308000,-255,-255,-68,50.0000,50.0000,4.7570
1,2,1,2021-08-01 21:08:53.308000,-87,-66,-82,20.4487,4.0801,13.9316
1,2,1,2021-08-01 21:08:53.308000,-255,-75,-69,50.0000,8.1408,5.1365
1,2,1,2021-08-01 21:08:53.308000,-255,-66,-76,50.0000,4.0801,8.7902
1,2,1,2021-08-01 21:08:53.308000,-255,-76,-69,50.0000,8.7902,5.1365
1,2,1,2021-08-01 21:08:53.308000,-255,-93,-77,50.0000,32.4091,9.4915
1,2,1,2021-08-01 21:08:53.308000,-255,-76,-82,50.0000,8.7902,13.9316
1,2,1,2021-08-01 21:08:53.308000,-84,-86,-69,16.2430,18.9380,5.1365
1,2,1,2021-08-01 21:08:53.308000,-94,-85,-73,34.9945,17.5388,6.9823
1,2,1,2021-08-01 21:08:53.308000,-84,-85,-68,16.2430,17.5388,4.7570
