x,y,z,date,scanner1,scanner2,scanner3
2,2,1,2021-08-01 21:06:53.308000,-83,-87,-73
2,2,1,2021-08-01 21:06:53.308000,-94,-85,-74
2,2,1,2021-08-01 21:06:53.308000,-83,-85,-68
2,2,1,2021-08-01 21:06:53.308000,-92,-255,-74
2,2,1,2021-08-01 21:06:53.308000,-255,-255,-70
2,2,1,2021-08-01 21:06:53.308000,-87,-75,-76
2,2,1,2021-08-01 21:06:53.308000,-86,-66,-71
2,2,1,2021-08-01 21:06:53.308000,-87,-77,-82
2,2,1,2021-08-01 21:06:53.308000,-87,-67,-77
2,2,1,2021-08-01 21:06:53.308000,-255,-75,-82
2,2,1,2021-08-01 21:06:53.308000,-255,-66,-76
1,2,1,2021-08-01 21:07:53.308000,-87,-66,-76
1,2,1,2021-08-01 21:07:53.308000,-86,-67,-77
1,2,1,2021-08-01 21:07:53.308000,-87,-74,-82
1,2,1,2021-08-01 21:07:53.308000,-88,-77,-70
1,2,1,2021-08-01 21:07:53.308000,-255,-77,-255
1,2,1,2021-08-01 21:07:53.308000,-84,-84,-73
1,2,1,2021-08-01 21:07:53.308000,-95,-85,-69
1,2,1,2021-08-01 21:07:53.308000,-93,-84,-73
1,2,1,2021-08-01 21:07:53.308000,-255,-85,-69
1,2,1,2021-08-01 21:07:53.308000,-255,-255,-68
1,2,1,2021-08-01 21:08:53.308000,-87,-66,-82
1,2,1,2021-08-01 21:08:53.308000,-255,-75,-69
1,2,1,2021-08-01 21:08:53.308000,-255,-66,-76
1,2,1,2021-08-01 21:08:53.308000,-255,-76,-69
1,2,1,2021-08-01 21:08:53.308000,-255,-93,-77
1,2,1,2021-08-01 21:08:53.308000,-255,-76,-82
1,2,1,2021-08-01 21:08:53.308000,-84,-86,-69
1,2,1,2021-08-01 21:08:53.308000,-94,-85,-73
1,2,1,2021-08-01 21:08:53.308000,-84,-85,-68
1,2,1,2021-08-01 21:08:53.308000,-255,-85,-74
1,2,1,2021-08-01 21:08:53.308000,-255,-255,-68
1,2,1,2021-08-01 21:09:53.308000,-88,-75,-69
1,2,1,2021-08-01 21:09:53.308000,-90,-65,-82
1,2,1,2021-08-01 21:09:53.308000,-88,-74,-76
