x,y,z,date,scanner1,scanner2,scanner3
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-81
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-87
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-82
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-87
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-82
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-88
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-85
2,7,1,2021-08-01 22:20:53.308000,-75,-255,-87
2,7,1,2021-08-01 22:20:53.308000,-76,-255,-88
2,7,1,2021-08-01 22:20:53.308000,-74,-255,-255
2,7,1,2021-08-01 22:20:53.308000,-76,-255,-255
2,7,1,2021-08-01 22:20:53.308000,-75,-255,-255
2,7,1,2021-08-01 22:20:53.308000,-77,-255,-255
2,7,1,2021-08-01 22:20:53.308000,-76,-255,-255
2,7,1,2021-08-01 22:20:53.308000,-70,-255,-85
2,7,1,2021-08-01 22:20:53.308000,-65,-255,-87
2,7,1,2021-08-01 22:20:53.308000,-68,-255,-255
2,7,1,2021-08-01 22:20:53.308000,-65,-255,-255
2,7,1,2021-08-01 22:20:53.308000,-69,-255,-255
3,7,1,2021-08-01 22:10:53.308000,-86,-90,-255
3,7,1,2021-08-01 22:10:53.308000,-87,-92,-255
3,7,1,2021-08-01 22:10:53.308000,-255,-94,-255
3,7,1,2021-08-01 22:10:53.308000,-255,-92,-255
3,7,1,2021-08-01 22:10:53.308000,-80,-87,-255
3,7,1,2021-08-01 22:10:53.308000,-88,-92,-255
3,7,1,2021-08-01 22:10:53.308000,-72,-86,-255
3,7,1,2021-08-01 22:10:53.308000,-79,-255,-255
3,7,1,2021-08-01 22:12:53.308000,-85,-90,-94
3,7,1,2021-08-01 22:12:53.308000,-91,-92,-93
3,7,1,2021-08-01 22:12:53.308000,-86,-91,-92
3,7,1,2021-08-01 22:12:53.308000,-255,-92,-94
3,7,1,2021-08-01 22:12:53.308000,-255,-91,-96
3,7,1,2021-08-01 22:12:53.308000,-255,-89,-255
3,7,1,2021-08-01 22:12:53.308000,-81,-95,-97
3,7,1,2021-08-01 22:12:53.308000,-72,-87,-255
3,7,1,2021-08-01 22:12:53.308000,-73,-255,-255
3,7,1,2021-08-01 22:12:53.308000,-73,-255,-255
3,6,1,2021-08-01 21:56:53.308000,-83,-87,-255
3,6,1,2021-08-01 21:56:53.308000,-83,-86,-255
3,6,1,2021-08-01 21:56:53.308000,-83,-86,-255
3,6,1,2021-08-01 21:56:53.308000,-84,-255,-255
3,6,1,2021-08-01 21:56:53.308000,-83,-255,-255
3,6,1,2021-08-01 21:56:53.308000,-83,-255,-255
3,6,1,2021-08-01 21:56:53.308000,-78,-88,-255
3,6,1,2021-08-01 21:56:53.308000,-78,-92,-255
3,6,1,2021-08-01 21:56:53.308000,-78,-90,-255
3,6,1,2021-08-01 21:56:53.308000,-79,-255,-255
3,6,1,2021-08-01 21:56:53.308000,-82,-255,-255
3,6,1,2021-08-01 21:57:53.308000,-83,-85,-86
3,6,1,2021-08-01 21:57:53.308000,-83,-87,-88
3,6,1,2021-08-01 21:57:53.308000,-255,-88,-90
3,6,1,2021-08-01 21:57:53.308000,-255,-85,-255
3,6,1,2021-08-01 21:57:53.308000,-77,-93,-87
3,6,1,2021-08-01 21:57:53.308000,-81,-85,-89
3,6,1,2021-08-01 21:57:53.308000,-78,-82,-92
3,6,1,2021-08-01 21:57:53.308000,-79,-90,-87
3,6,1,2021-08-01 21:57:53.308000,-78,-85,-255
3,6,1,2021-08-01 21:57:53.308000,-82,-90,-255
3,6,1,2021-08-01 21:57:53.308000,-83,-255,-255
3,6,1,2021-08-01 21:57:53.308000,-79,-255,-255
3,6,1,2021-08-01 21:59:53.308000,-84,-85,-88
3,6,1,2021-08-01 21:59:53.308000,-83,-85,-92
3,6,1,2021-08-01 21:59:53.308000,-255,-85,-89
3,6,1,2021-08-01 21:59:53.308000,-255,-255,-91
3,6,1,2021-08-01 21:59:53.308000,-255,-255,-92
3,6,1,2021-08-01 21:59:53.308000,-78,-87,-92
3,6,1,2021-08-01 21:59:53.308000,-79,-88,-90
3,6,1,2021-08-01 21:59:53.308000,-81,-83,-92
3,6,1,2021-08-01 21:59:53.308000,-78,-93,-255
3,6,1,2021-08-01 21:59:53.308000,-78,-87,-255
3,6,1,2021-08-01 21:59:53.308000,-255,-90,-255
3,6,1,2021-08-01 22:01:53.308000,-255,-255,-92
3,6,1,2021-08-01 22:01:53.308000,-255,-255,-91
3,6,1,2021-08-01 22:01:53.308000,-255,-255,-92
3,6,1,2021-08-01 22:01:53.308000,-255,-255,-90
3,6,1,2021-08-01 22:01:53.308000,-255,-255,-91
4,6,1,2021-08-01 21:58:53.308000,-82,-90,-92
4,6,1,2021-08-01 21:58:53.308000,-78,-84,-90
4,6,1,2021-08-01 21:58:53.308000,-79,-89,-91
4,6,1,2021-08-01 21:58:53.308000,-81,-87,-93
4,6,1,2021-08-01 21:58:53.308000,-78,-92,-255
4,6,1,2021-08-01 21:58:53.308000,-255,-85,-255
4,6,1,2021-08-01 21:58:53.308000,-83,-85,-89
4,6,1,2021-08-01 21:58:53.308000,-84,-88,-88
4,6,1,2021-08-01 21:58:53.308000,-82,-255,-90
4,6,1,2021-08-01 21:58:53.308000,-255,-255,-89
4,6,1,2021-08-01 21:58:53.308000,-255,-255,-89
4,6,1,2021-08-01 22:00:53.308000,-78,-84,-93
4,6,1,2021-08-01 22:00:53.308000,-81,-92,-90
4,6,1,2021-08-01 22:00:53.308000,-78,-255,-91
4,6,1,2021-08-01 22:00:53.308000,-82,-255,-91
4,6,1,2021-08-01 22:00:53.308000,-77,-255,-90
