x,y,z,date,scanner1,scanner2,scanner3,dist1,dist2,dist3
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-81,50.0000,50.0000,12.9023
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-87,50.0000,50.0000,20.4487
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-82,50.0000,50.0000,13.9316
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-87,50.0000,50.0000,20.4487
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-82,50.0000,50.0000,13.9316
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-88,50.0000,50.0000,22.0800
2,7,1,2021-08-01 22:18:53.308000,-255,-255,-85,50.0000,50.0000,17.5388
2,7,1,2021-08-01 22:20:53.308000,-75,-255,-87,8.1408,50.0000,20.4487
2,7,1,2021-08-01 22:20:53.308000,-76,-255,-88,8.7902,50.0000,22.0800
2,7,1,2021-08-01 22:20:53.308000,-74,-255,-255,7.5393,50.0000,50.0000
2,7,1,2021-08-01 22:20:53.308000,-76,-255,-255,8.7902,50.0000,50.0000
2,7,1,2021-08-01 22:20:53.308000,-75,-255,-255,8.1408,50.0000,50.0000
2,7,1,2021-08-01 22:20:53.308000,-77,-255,-255,9.4915,50.0000,50.0000
2,7,1,2021-08-01 22:20:53.308000,-76,-255,-255,8.7902,50.0000,50.0000
2,7,1,2021-08-01 22:20:53.308000,-70,-255,-85,5.5463,50.0000,17.5388
2,7,1,2021-08-01 22:20:53.308000,-65,-255,-87,3.7786,50.0000,20.4487
2,7,1,2021-08-01 22:20:53.308000,-68,-255,-255,4.7570,50.0000,50.0000
2,7,1,2021-08-01 22:20:53.308000,-65,-255,-255,3.7786,50.0000,50.0000
2,7,1,2021-08-01 22:20:53.308000,-69,-255,-255,5.1365,50.0000,50.0000
3,7,1,2021-08-01 22:10:53.308000,-86,-90,-255,18.9380,25.7434,50.0000
3,7,1,2021-08-01 22:10:53.308000,-87,-92,-255,20.4487,30.0147,50.0000
3,7,1,2021-08-01 22:10:53.308000,-255,-94,-255,50.0000,34.9945,50.0000
3,7,1,2021-08-01 22:10:53.308000,-255,-92,-255,50.0000,30.0147,50.0000
3,7,1,2021-08-01 22:10:53.308000,-80,-87,-255,11.9490,20.4487,50.0000
3,7,1,2021-08-01 22:10:53.308000,-88,-92,-255,22.0800,30.0147,50.0000
3,7,1,2021-08-01 22:10:53.308000,-72,-86,-255,6.4665,18.9380,50.0000
3,7,1,2021-08-01 22:10:53.308000,-79,-255,-255,11.0662,50.0000,50.0000
3,7,1,2021-08-01 22:12:53.308000,-85,-90,-94,17.5388,25.7434,34.9945
3,7,1,2021-08-01 22:12:53.308000,-91,-92,-93,27.7971,30.0147,32.4091
3,7,1,2021-08-01 22:12:53.308000,-86,-91,-92,18.9380,27.7971,30.0147
3,7,1,2021-08-01 22:12:53.308000,-255,-92,-94,50.0000,30.0147,34.9945
3,7,1,2021-08-01 22:12:53.308000,-255,-91,-96,50.0000,27.7971,40.8006
3,7,1,2021-08-01 22:12:53.308000,-255,-89,-255,50.0000,23.8415,50.0000
3,7,1,2021-08-01 22:12:53.308000,-81,-95,-97,12.9023,37.7862,44.0555
3,7,1,2021-08-01 22:12:53.308000,-72,-87,-255,6.4665,20.4487,50.0000
3,7,1,2021-08-01 22:12:53.308000,-73,-255,-255,6.9823,50.0000,50.0000
3,7,1,2021-08-01 22:12:53.308000,-73,-255,-255,6.9823,50.0000,50.0000
3,6,1,2021-08-01 21:56:53.308000,-83,-87,-255,15.0430,20.4487,50.0000
3,6,1,2021-08-01 21:56:53.308000,-83,-86,-255,15.0430,18.9380,50.0000
3,6,1,2021-08-01 21:56:53.308000,-83,-86,-255,15.0430,18.9380,50.0000
3,6,1,2021-08-01 21:56:53.308000,-84,-255,-255,16.2430,50.0000,50.0000
3,6,1,2021-08-01 21:56:53.308000,-83,-255,-255,15.0430,50.0000,50.0000
3,6,1,2021-08-01 21:56:53.308000,-83,-255,-255,15.0430,50.0000,50.0000
3,6,1,2021-08-01 21:56:53.308000,-78,-88,-255,10.2487,22.0800,50.0000
3,6,1,2021-08-01 21:56:53.308000,-78,-92,-255,10.2487,30.0147,50.0000
3,6,1,2021-08-01 21:56:53.308000,-78,-90,-255,10.2487,25.7434,50.0000
3,6,1,2021-08-01 21:56:53.308000,-79,-255,-255,11.0662,50.0000,50.0000
3,6,1,2021-08-01 21:56:53.308000,-82,-255,-255,13.9316,50.0000,50.0000
3,6,1,2021-08-01 21:57:53.308000,-83,-85,-86,15.0430,17.5388,18.9380
3,6,1,2021-08-01 21:57:53.308000,-83,-87,-88,15.0430,20.4487,22.0800
3,6,1,2021-08-01 21:57:53.308000,-255,-88,-90,50.0000,22.0800,25.7434
3,6,1,2021-08-01 21:57:53.308000,-255,-85,-255,50.0000,17.5388,50.0000
3,6,1,2021-08-01 21:57:53.308000,-77,-93,-87,9.4915,32.4091,20.4487
3,6,1,2021-08-01 21:57:53.308000,-81,-85,-89,12.9023,17.5388,23.8415
3,6,1,2021-08-01 21:57:53.308000,-78,-82,-92,10.2487,13.9316,30.0147
3,6,1,2021-08-01 21:57:53.308000,-79,-90,-87,11.0662,25.7434,20.4487
3,6,1,2021-08-01 21:57:53.308000,-78,-85,-255,10.2487,17.5388,50.0000
3,6,1,2021-08-01 21:57:53.308000,-82,-90,-255,13.9316,25.7434,50.0000
3,6,1,2021-08-01 21:57:53.308000,-83,-255,-255,15.0430,50.0000,50.0000
3,6,1,2021-08-01 21:57:53.308000,-79,-255,-255,11.0662,50.0000,50.0000
3,6,1,2021-08-01 21:59:53.308000,-84,-85,-88,16.2430,17.5388,22.0800
3,6,1,2021-08-01 21:59:53.308000,-83,-85,-92,15.0430,17.5388,30.0147
3,6,1,2021-08-01 21:59:53.308000,-255,-85,-89,50.0000,17.5388,23.8415
3,6,1,2021-08-01 21:59:53.308000,-255,-255,-91,50.0000,50.0000,27.7971
3,6,1,2021-08-01 21:59:53.308000,-255,-255,-92,50.0000,50.0000,30.0147
3,6,1,2021-08-01 21:59:53.308000,-78,-87,-92,10.2487,20.4487,30.0147
3,6,1,2021-08-01 21:59:53.308000,-79,-88,-90,11.0662,22.0800,25.7434
3,6,1,2021-08-01 21:59:53.308000,-81,-83,-92,12.9023,15.0430,30.0147
3,6,1,2021-08-01 21:59:53.308000,-78,-93,-255,10.2487,32.4091,50.0000
3,6,1,2021-08-01 21:59:53.308000,-78,-87,-255,10.2487,20.4487,50.0000
3,6,1,2021-08-01 21:59:53.308000,-255,-90,-255,50.0000,25.7434,50.0000
3,6,1,2021-08-01 22:01:53.308000,-255,-255,-92,50.0000,50.0000,30.0147
3,6,1,2021-08-01 22:01:53.308000,-255,-255,-91,50.0000,50.0000,27.7971
3,6,1,2021-08-01 22:01:53.308000,-255,-255,-92,50.0000,50.0000,30.0147
3,6,1,2021-08-01 22:01:53.308000,-255,-255,-90,50.0000,50.0000,25.7434
3,6,1,2021-08-01 22:01:53.308000,-255,-255,-91,50.0000,50.0000,27.7971
4,6,1,2021-08-01 21:58:53.308000,-82,-90,-92,13.9316,25.7434,30.0147
4,6,1,2021-08-01 21:58:53.308000,-78,-84,-90,10.2487,16.2430,25.7434
4,6,1,2021-08-01 21:58:53.308000,-79,-89,-91,11.0662,23.8415,27.7971
4,6,1,2021-08-01 21:58:53.308000,-81,-87,-93,12.9023,20.4487,32.4091
4,6,1,2021-08-01 21:58:53.308000,-78,-92,-255,10.2487,30.0147,50.0000
4,6,1,2021-08-01 21:58:53.308000,-255,-85,-255,50.0000,17.5388,50.0000
4,6,1,2021-08-01 21:58:53.308000,-83,-85,-89,15.0430,17.5388,23.8415
4,6,1,2021-08-01 21:58:53.308000,-84,-88,-88,16.2430,22.0800,22.0800
4,6,1,2021-08-01 21:58:53.308000,-82,-255,-90,13.9316,50.0000,25.7434
4,6,1,2021-08-01 21:58:53.308000,-255,-255,-89,50.0000,50.0000,23.8415
4,6,1,2021-08-01 21:58:53.308000,-255,-255,-89,50.0000,50.0000,23.8415
4,6,1,2021-08-01 22:00:53.308000,-78,-84,-93,10.2487,16.2430,32.4091
4,6,1,2021-08-01 22:00:53.308000,-81,-92,-90,12.9023,30.0147,25.7434
4,6,1,2021-08-01 22:00:53.308000,-78,-255,-91,10.2487,50.0000,27.7971
4,6,1,2021-08-01 22:00:53.308000,-82,-255,-91,13.9316,50.0000,27.7971
