x,y,z,date,scanner1,scanner2,scanner3,dist1,dist2,dist3
1,2,1,2021-08-01 22:37:29.250000,-78,-46,-78,10.2487,0.8790,10.2487
1,2,1,2021-08-01 22:37:29.250000,-77,-57,-78,9.4915,2.0449,10.2487
1,2,1,2021-08-01 22:37:29.250000,-80,-55,-60,11.9490,1.7539,2.5743
1,2,1,2021-08-01 22:37:29.250000,-77,-46,-70,9.4915,0.8790,5.5463
1,2,1,2021-08-01 22:37:29.250000,-79,-45,-78,11.0662,0.8141,10.2487
1,2,1,2021-08-01 22:37:29.250000,-255,-255,-78,50.0000,50.0000,10.2487
1,2,1,2021-08-01 22:37:29.250000,-255,-255,-72,50.0000,50.0000,6.4665
1,2,1,2021-08-01 22:37:29.250000,-68,-51,-65,4.7570,1.2902,3.7786
1,2,1,2021-08-01 22:37:29.250000,-70,-56,-61,5.5463,1.8938,2.7797
1,2,1,2021-08-01 22:37:29.250000,-67,-51,-64,4.4055,1.2902,3.4995
1,2,1,2021-08-01 22:37:29.250000,-76,-56,-60,8.7902,1.8938,2.5743
1,2,1,2021-08-01 22:37:29.250000,-70,-56,-64,5.5463,1.8938,3.4995
1,2,1,2021-08-01 22:37:29.250000,-77,-255,-255,9.4915,50.0000,50.0000
1,2,1,2021-08-01 22:38:29.250000,-78,-55,-77,10.2487,1.7539,9.4915
1,2,1,2021-08-01 22:38:29.250000,-78,-72,-70,10.2487,6.4665,5.5463
1,2,1,2021-08-01 22:38:29.250000,-80,-57,-77,11.9490,2.0449,9.4915
1,2,1,2021-08-01 22:38:29.250000,-77,-46,-70,9.4915,0.8790,5.5463
1,2,1,2021-08-01 22:38:29.250000,-78,-46,-62,10.2487,0.8790,3.0015
1,2,1,2021-08-01 22:38:29.250000,-255,-45,-255,50.0000,0.8141,50.0000
1,2,1,2021-08-01 22:38:29.250000,-71,-56,-64,5.9887,1.8938,3.4995
1,2,1,2021-08-01 22:38:29.250000,-69,-62,-61,5.1365,3.0015,2.7797
1,2,1,2021-08-01 22:38:29.250000,-77,-51,-60,9.4915,1.2902,2.5743
1,2,1,2021-08-01 22:38:29.250000,-70,-62,-64,5.5463,3.0015,3.4995
1,2,1,2021-08-01 22:38:29.250000,-71,-56,-60,5.9887,1.8938,2.5743
1,2,1,2021-08-01 22:38:29.250000,-255,-62,-60,50.0000,3.0015,2.5743
2,2,1,2021-08-01 22:39:29.250000,-70,-62,-61,5.5463,3.0015,2.7797
2,2,1,2021-08-01 22:39:29.250000,-76,-55,-64,8.7902,1.7539,3.4995
2,2,1,2021-08-01 22:39:29.250000,-71,-51,-60,5.9887,1.2902,2.5743
2,2,1,2021-08-01 22:39:29.250000,-69,-62,-61,5.1365,3.0015,2.7797
2,2,1,2021-08-01 22:39:29.250000,-76,-51,-60,8.7902,1.2902,2.5743
2,2,1,2021-08-01 22:39:29.250000,-71,-56,-255,5.9887,1.8938,50.0000
2,2,1,2021-08-01 22:39:29.250000,-255,-51,-255,50.0000,1.2902,50.0000
2,2,1,2021-08-01 22:39:29.250000,-255,-61,-255,50.0000,2.7797,50.0000
2,2,1,2021-08-01 22:39:29.250000,-80,-45,-62,11.9490,0.8141,3.0015
2,2,1,2021-08-01 22:39:29.250000,-79,-57,-62,11.0662,2.0449,3.0015
2,2,1,2021-08-01 22:39:29.250000,-77,-48,-62,9.4915,1.0249,3.0015
2,2,1,2021-08-01 22:39:29.250000,-77,-57,-80,9.4915,2.0449,11.9490
2,2,1,2021-08-01 22:39:29.250000,-80,-255,-83,11.9490,50.0000,15.0430
2,2,1,2021-08-01 22:39:29.250000,-82,-255,-76,13.9316,50.0000,8.7902
1,2,1,2021-08-01 22:40:29.250000,-76,-47,-77,8.7902,0.9491,9.4915
1,2,1,2021-08-01 22:40:29.250000,-81,-55,-72,12.9023,1.7539,6.4665
1,2,1,2021-08-01 22:40:29.250000,-82,-46,-62,13.9316,0.8790,3.0015
1,2,1,2021-08-01 22:40:29.250000,-78,-44,-255,10.2487,0.7539,50.0000
1,2,1,2021-08-01 22:40:29.250000,-79,-56,-255,11.0662,1.8938,50.0000
1,2,1,2021-08-01 22:40:29.250000,-79,-44,-255,11.0662,0.7539,50.0000
1,2,1,2021-08-01 22:40:29.250000,-75,-62,-59,8.1408,3.0015,2.3841
1,2,1,2021-08-01 22:40:29.250000,-77,-62,-60,9.4915,3.0015,2.5743
1,2,1,2021-08-01 22:40:29.250000,-72,-51,-65,6.4665,1.2902,3.7786
1,2,1,2021-08-01 22:40:29.250000,-71,-62,-64,5.9887,3.0015,3.4995
1,2,1,2021-08-01 22:40:29.250000,-75,-51,-60,8.1408,1.2902,2.5743
1,2,1,2021-08-01 22:40:29.250000,-71,-62,-60,5.9887,3.0015,2.5743
1,2,1,2021-08-01 22:40:29.250000,-71,-255,-255,5.9887,50.0000,50.0000
1,2,1,2021-08-01 22:41:29.250000,-78,-44,-85,10.2487,0.7539,17.5388
1,2,1,2021-08-01 22:41:29.250000,-81,-47,-78,12.9023,0.9491,10.2487
1,2,1,2021-08-01 22:41:29.250000,-78,-56,-62,10.2487,1.8938,3.0015
1,2,1,2021-08-01 22:41:29.250000,-255,-255,-72,50.0000,50.0000,6.4665
1,2,1,2021-08-01 22:41:29.250000,-255,-255,-76,50.0000,50.0000,8.7902
1,2,1,2021-08-01 22:41:29.250000,-75,-62,-60,8.1408,3.0015,2.5743
1,2,1,2021-08-01 22:41:29.250000,-72,-55,-60,6.4665,1.7539,2.5743
1,2,1,2021-08-01 22:41:29.250000,-74,-56,-60,7.5393,1.8938,2.5743
1,2,1,2021-08-01 22:41:29.250000,-71,-62,-61,5.9887,3.0015,2.7797
1,2,1,2021-08-01 22:41:29.250000,-71,-51,-60,5.9887,1.2902,2.5743
1,2,1,2021-08-01 22:41:29.250000,-72,-62,-255,6.4665,3.0015,50.0000
1,2,1,2021-08-01 22:41:29.250000,-96,-51,-255,40.8006,1.2902,50.0000
1,2,1,2021-08-01 22:41:29.250000,-71,-255,-255,5.9887,50.0000,50.0000
1,2,1,2021-08-01 22:41:29.250000,-71,-255,-255,5.9887,50.0000,50.0000
3,2,1,2021-08-01 22:43:29.250000,-78,-69,-62,10.2487,5.1365,3.0015
3,2,1,2021-08-01 22:43:29.250000,-84,-59,-59,16.2430,2.3841,2.3841
3,2,1,2021-08-01 22:43:29.250000,-83,-59,-58,15.0430,2.3841,2.2080
3,2,1,2021-08-01 22:43:29.250000,-78,-63,-61,10.2487,3.2409,2.7797
3,2,1,2021-08-01 22:43:29.250000,-82,-69,-255,13.9316,5.1365,50.0000
3,2,1,2021-08-01 22:43:29.250000,-255,-69,-255,50.0000,5.1365,50.0000
3,2,1,2021-08-01 22:43:29.250000,-84,-72,-53,16.2430,6.4665,1.5043
3,2,1,2021-08-01 22:43:29.250000,-80,-69,-57,11.9490,5.1365,2.0449
3,2,1,2021-08-01 22:43:29.250000,-82,-69,-51,13.9316,5.1365,1.2902
3,2,1,2021-08-01 22:43:29.250000,-83,-72,-53,15.0430,6.4665,1.5043
3,2,1,2021-08-01 22:43:29.250000,-78,-71,-52,10.2487,5.9887,1.3932
3,2,1,2021-08-01 22:43:29.250000,-82,-255,-56,13.9316,50.0000,1.8938
3,2,1,2021-08-01 22:43:29.250000,-85,-255,-255,17.5388,50.0000,50.0000
4,2,1,2021-08-01 22:44:29.250000,-81,-71,-56,12.9023,5.9887,1.8938
4,2,1,2021-08-01 22:44:29.250000,-84,-68,-53,16.2430,4.7570,1.5043
4,2,1,2021-08-01 22:44:29.250000,-84,-70,-57,16.2430,5.5463,2.0449
4,2,1,2021-08-01 22:44:29.250000,-82,-69,-55,13.9316,5.1365,1.7539
4,2,1,2021-08-01 22:44:29.250000,-85,-70,-56,17.5388,5.5463,1.8938
4,2,1,2021-08-01 22:44:29.250000,-88,-72,-52,22.0800,6.4665,1.3932
4,2,1,2021-08-01 22:44:29.250000,-255,-69,-57,50.0000,5.1365,2.0449
4,2,1,2021-08-01 22:44:29.250000,-82,-58,-58,13.9316,2.2080,2.2080
4,2,1,2021-08-01 22:44:29.250000,-82,-68,-63,13.9316,4.7570,3.2409
4,2,1,2021-08-01 22:44:29.250000,-77,-59,-61,9.4915,2.3841,2.7797
4,2,1,2021-08-01 22:44:29.250000,-255,-69,-61,50.0000,5.1365,2.7797
4,2,1,2021-08-01 22:44:29.250000,-255,-63,-255,50.0000,3.2409,50.0000
4,2,1,2021-08-01 22:44:29.250000,-255,-69,-255,50.0000,5.1365,50.0000
4,2,1,2021-08-01 22:45:29.250000,-85,-69,-53,17.5388,5.1365,1.5043
4,2,1,2021-08-01 22:45:29.250000,-81,-71,-53,12.9023,5.9887,1.5043
4,2,1,2021-08-01 22:45:29.250000,-84,-69,-56,16.2430,5.1365,1.8938
4,2,1,2021-08-01 22:45:29.250000,-79,-72,-56,11.0662,6.4665,1.8938
4,2,1,2021-08-01 22:45:29.250000,-81,-255,-52,12.9023,50.0000,1.3932
4,2,1,2021-08-01 22:45:29.250000,-83,-255,-51,15.0430,50.0000,1.2902
4,2,1,2021-08-01 22:45:29.250000,-80,-255,-255,11.9490,50.0000,50.0000
4,2,1,2021-08-01 22:45:29.250000,-75,-59,-57,8.1408,2.3841,2.0449
4,2,1,2021-08-01 22:45:29.250000,-81,-69,-61,12.9023,5.1365,2.7797
4,2,1,2021-08-01 22:45:29.250000,-80,-59,-61,11.9490,2.3841,2.7797
4,2,1,2021-08-01 22:45:29.250000,-82,-86,-61,13.9316,18.9380,2.7797
4,2,1,2021-08-01 22:45:29.250000,-76,-255,-63,8.7902,50.0000,3.2409
4,2,1,2021-08-01 22:45:29.250000,-255,-255,-63,50.0000,50.0000,3.2409
3,2,1,2021-08-01 22:46:29.250000,-79,-70,-63,11.0662,5.5463,3.2409
3,2,1,2021-08-01 22:46:29.250000,-80,-59,-62,11.9490,2.3841,3.0015
3,2,1,2021-08-01 22:46:29.250000,-80,-69,-63,11.9490,5.1365,3.2409
3,2,1,2021-08-01 22:46:29.250000,-255,-63,-62,50.0000,3.2409,3.0015
3,2,1,2021-08-01 22:46:29.250000,-255,-63,-62,50.0000,3.2409,3.0015
3,2,1,2021-08-01 22:46:29.250000,-255,-58,-57,50.0000,2.2080,2.0449
3,2,1,2021-08-01 22:46:29.250000,-255,-69,-255,50.0000,5.1365,50.0000
3,2,1,2021-08-01 22:46:29.250000,-88,-72,-56,22.0800,6.4665,1.8938
3,2,1,2021-08-01 22:46:29.250000,-80,-71,-51,11.9490,5.9887,1.2902
3,2,1,2021-08-01 22:46:29.250000,-82,-71,-53,13.9316,5.9887,1.5043
3,2,1,2021-08-01 22:46:29.250000,-88,-71,-52,22.0800,5.9887,1.3932
3,2,1,2021-08-01 22:46:29.250000,-82,-255,-53,13.9316,50.0000,1.5043
3,2,1,2021-08-01 22:46:29.250000,-255,-255,-54,50.0000,50.0000,1.6243
3,2,1,2021-08-01 22:47:29.250000,-81,-59,-60,12.9023,2.3841,2.5743
3,2,1,2021-08-01 22:47:29.250000,-76,-68,-61,8.7902,4.7570,2.7797
3,2,1,2021-08-01 22:47:29.250000,-81,-58,-57,12.9023,2.2080,2.0449
3,2,1,2021-08-01 22:47:29.250000,-80,-70,-60,11.9490,5.5463,2.5743
3,2,1,2021-08-01 22:47:29.250000,-255,-62,-84,50.0000,3.0015,16.2430
3,2,1,2021-08-01 22:47:29.250000,-255,-59,-255,50.0000,2.3841,50.0000
3,2,1,2021-08-01 22:47:29.250000,-80,-69,-51,11.9490,5.1365,1.2902
3,2,1,2021-08-01 22:47:29.250000,-82,-71,-53,13.9316,5.9887,1.5043
3,2,1,2021-08-01 22:47:29.250000,-82,-71,-53,13.9316,5.9887,1.5043
3,2,1,2021-08-01 22:47:29.250000,-84,-69,-52,16.2430,5.1365,1.3932
3,2,1,2021-08-01 22:47:29.250000,-82,-71,-56,13.9316,5.9887,1.8938
3,2,1,2021-08-01 22:47:29.250000,-82,-71,-51,13.9316,5.9887,1.2902
2,3,1,2021-08-01 22:49:29.250000,-78,-255,-255,10.2487,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-72,-255,-255,6.4665,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-67,-255,-255,4.4055,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-72,-255,-255,6.4665,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-67,-255,-255,4.4055,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-77,-255,-255,9.4915,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-67,-255,-255,4.4055,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-74,-255,-255,7.5393,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-78,-255,-255,10.2487,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-78,-255,-255,10.2487,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-78,-255,-255,10.2487,50.0000,50.0000
2,3,1,2021-08-01 22:49:29.250000,-75,-255,-255,8.1408,50.0000,50.0000
1,3,1,2021-08-01 22:50:29.250000,-78,-62,-53,10.2487,3.0015,1.5043
1,3,1,2021-08-01 22:50:29.250000,-74,-62,-76,7.5393,3.0015,8.7902
1,3,1,2021-08-01 22:50:29.250000,-77,-61,-54,9.4915,2.7797,1.6243
1,3,1,2021-08-01 22:50:29.250000,-75,-57,-75,8.1408,2.0449,8.1408
1,3,1,2021-08-01 22:50:29.250000,-80,-63,-58,11.9490,3.2409,2.2080
1,3,1,2021-08-01 22:50:29.250000,-255,-63,-53,50.0000,3.2409,1.5043
1,3,1,2021-08-01 22:50:29.250000,-72,-75,-65,6.4665,8.1408,3.7786
1,3,1,2021-08-01 22:50:29.250000,-77,-73,-66,9.4915,6.9823,4.0801
1,3,1,2021-08-01 22:50:29.250000,-67,-71,-67,4.4055,5.9887,4.4055
1,3,1,2021-08-01 22:50:29.250000,-72,-73,-57,6.4665,6.9823,2.0449
1,3,1,2021-08-01 22:50:29.250000,-67,-74,-65,4.4055,7.5393,3.7786
2,3,1,2021-08-01 22:51:29.250000,-67,-74,-66,4.4055,7.5393,4.0801
2,3,1,2021-08-01 22:51:29.250000,-71,-75,-65,5.9887,8.1408,3.7786
2,3,1,2021-08-01 22:51:29.250000,-75,-71,-57,8.1408,5.9887,2.0449
2,3,1,2021-08-01 22:51:29.250000,-67,-255,-67,4.4055,50.0000,4.4055
2,3,1,2021-08-01 22:51:29.250000,-255,-255,-57,50.0000,50.0000,2.0449
2,3,1,2021-08-01 22:51:29.250000,-255,-255,-66,50.0000,50.0000,4.0801
2,3,1,2021-08-01 22:51:29.250000,-76,-58,-53,8.7902,2.2080,1.5043
2,3,1,2021-08-01 22:51:29.250000,-78,-62,-57,10.2487,3.0015,2.0449
2,3,1,2021-08-01 22:51:29.250000,-80,-62,-52,11.9490,3.0015,1.3932
2,3,1,2021-08-01 22:51:29.250000,-77,-80,-52,9.4915,11.9490,1.3932
2,3,1,2021-08-01 22:51:29.250000,-78,-62,-49,10.2487,3.0015,1.1066
1,3,1,2021-08-01 22:52:29.250000,-77,-60,-50,9.4915,2.5743,1.1949
1,3,1,2021-08-01 22:52:29.250000,-75,-58,-53,8.1408,2.2080,1.5043
1,3,1,2021-08-01 22:52:29.250000,-78,-63,-54,10.2487,3.2409,1.6243
1,3,1,2021-08-01 22:52:29.250000,-81,-61,-58,12.9023,2.7797,2.2080
1,3,1,2021-08-01 22:52:29.250000,-75,-57,-52,8.1408,2.0449,1.3932
1,3,1,2021-08-01 22:52:29.250000,-255,-62,-58,50.0000,3.0015,2.2080
1,3,1,2021-08-01 22:52:29.250000,-72,-73,-58,6.4665,6.9823,2.2080
1,3,1,2021-08-01 22:52:29.250000,-76,-75,-66,8.7902,8.1408,4.0801
1,3,1,2021-08-01 22:52:29.250000,-67,-71,-65,4.4055,5.9887,3.7786
1,3,1,2021-08-01 22:52:29.250000,-72,-75,-67,6.4665,8.1408,4.4055
1,3,1,2021-08-01 22:52:29.250000,-67,-75,-57,4.4055,8.1408,2.0449
1,3,1,2021-08-01 22:52:29.250000,-75,-73,-255,8.1408,6.9823,50.0000
1,3,1,2021-08-01 22:53:29.250000,-75,-58,-51,8.1408,2.2080,1.2902
1,3,1,2021-08-01 22:53:29.250000,-80,-62,-92,11.9490,3.0015,30.0147
1,3,1,2021-08-01 22:53:29.250000,-79,-62,-50,11.0662,3.0015,1.1949
1,3,1,2021-08-01 22:53:29.250000,-73,-58,-53,6.9823,2.2080,1.5043
1,3,1,2021-08-01 22:53:29.250000,-80,-63,-52,11.9490,3.2409,1.3932
1,3,1,2021-08-01 22:53:29.250000,-255,-61,-58,50.0000,2.7797,2.2080
1,3,1,2021-08-01 22:53:29.250000,-72,-72,-65,6.4665,6.4665,3.7786
1,3,1,2021-08-01 22:53:29.250000,-67,-73,-65,4.4055,6.9823,3.7786
1,3,1,2021-08-01 22:53:29.250000,-72,-73,-65,6.4665,6.9823,3.7786
1,3,1,2021-08-01 22:53:29.250000,-75,-74,-67,8.1408,7.5393,4.4055
1,3,1,2021-08-01 22:53:29.250000,-76,-71,-255,8.7902,5.9887,50.0000
1,3,1,2021-08-01 22:53:29.250000,-72,-73,-255,6.4665,6.9823,50.0000
1,3,1,2021-08-01 22:53:29.250000,-255,-74,-255,50.0000,7.5393,50.0000
1,3,1,2021-08-01 22:53:29.250000,-255,-73,-255,50.0000,6.9823,50.0000
1,3,1,2021-08-01 22:54:29.250000,-255,-255,-52,50.0000,50.0000,1.3932
1,3,1,2021-08-01 22:54:29.250000,-255,-255,-54,50.0000,50.0000,1.6243
1,3,1,2021-08-01 22:54:29.250000,-255,-255,-49,50.0000,50.0000,1.1066
1,3,1,2021-08-01 22:54:29.250000,-255,-255,-53,50.0000,50.0000,1.5043
1,3,1,2021-08-01 22:54:29.250000,-255,-255,-65,50.0000,50.0000,3.7786
1,3,1,2021-08-01 22:54:29.250000,-255,-255,-57,50.0000,50.0000,2.0449
1,3,1,2021-08-01 22:54:29.250000,-255,-255,-67,50.0000,50.0000,4.4055
1,3,1,2021-08-01 22:54:29.250000,-255,-255,-67,50.0000,50.0000,4.4055
1,3,1,2021-08-01 22:54:29.250000,-255,-255,-65,50.0000,50.0000,3.7786
3,3,1,2021-08-01 22:55:29.250000,-72,-255,-255,6.4665,50.0000,50.0000
3,3,1,2021-08-01 22:55:29.250000,-71,-255,-255,5.9887,50.0000,50.0000
3,3,1,2021-08-01 22:55:29.250000,-72,-255,-255,6.4665,50.0000,50.0000
3,3,1,2021-08-01 22:55:29.250000,-73,-255,-255,6.9823,50.0000,50.0000
3,3,1,2021-08-01 22:55:29.250000,-74,-255,-255,7.5393,50.0000,50.0000
3,3,1,2021-08-01 22:55:29.250000,-87,-255,-255,20.4487,50.0000,50.0000
3,3,1,2021-08-01 22:55:29.250000,-57,-255,-255,2.0449,50.0000,50.0000
3,3,1,2021-08-01 22:55:29.250000,-82,-255,-255,13.9316,50.0000,50.0000
3,3,1,2021-08-01 22:55:29.250000,-61,-255,-255,2.7797,50.0000,50.0000
4,3,1,2021-08-01 22:56:29.250000,-255,-255,-54,50.0000,50.0000,1.6243
4,3,1,2021-08-01 22:56:29.250000,-255,-255,-55,50.0000,50.0000,1.7539
4,3,1,2021-08-01 22:56:29.250000,-255,-255,-55,50.0000,50.0000,1.7539
4,3,1,2021-08-01 22:56:29.250000,-255,-255,-70,50.0000,50.0000,5.5463
4,3,1,2021-08-01 22:56:29.250000,-255,-255,-58,50.0000,50.0000,2.2080
4,3,1,2021-08-01 22:56:29.250000,-255,-255,-56,50.0000,50.0000,1.8938
4,3,1,2021-08-01 22:56:29.250000,-255,-255,-56,50.0000,50.0000,1.8938
4,3,1,2021-08-01 22:56:29.250000,-255,-255,-65,50.0000,50.0000,3.7786
4,3,1,2021-08-01 22:56:29.250000,-255,-255,-56,50.0000,50.0000,1.8938
4,3,1,2021-08-01 22:57:29.250000,-84,-52,-55,16.2430,1.3932,1.7539
4,3,1,2021-08-01 22:57:29.250000,-255,-80,-69,50.0000,11.9490,5.1365
4,3,1,2021-08-01 22:57:29.250000,-255,-53,-56,50.0000,1.5043,1.8938
4,3,1,2021-08-01 22:57:29.250000,-255,-78,-55,50.0000,10.2487,1.7539
4,3,1,2021-08-01 22:57:29.250000,-255,-78,-255,50.0000,10.2487,50.0000
4,3,1,2021-08-01 22:57:29.250000,-255,-57,-255,50.0000,2.0449,50.0000
4,3,1,2021-08-01 22:57:29.250000,-255,-60,-56,50.0000,2.5743,1.8938
4,3,1,2021-08-01 22:57:29.250000,-255,-64,-56,50.0000,3.4995,1.8938
4,3,1,2021-08-01 22:57:29.250000,-255,-63,-59,50.0000,3.2409,2.3841
4,3,1,2021-08-01 22:57:29.250000,-255,-60,-65,50.0000,2.5743,3.7786
4,3,1,2021-08-01 22:57:29.250000,-255,-63,-56,50.0000,3.2409,1.8938
4,3,1,2021-08-01 22:57:29.250000,-255,-65,-255,50.0000,3.7786,50.0000
4,3,1,2021-08-01 22:58:29.250000,-58,-57,-56,2.2080,2.0449,1.8938
4,3,1,2021-08-01 22:58:29.250000,-83,-58,-70,15.0430,2.2080,5.5463
4,3,1,2021-08-01 22:58:29.250000,-85,-53,-55,17.5388,1.5043,1.7539
4,3,1,2021-08-01 22:58:29.250000,-63,-59,-71,3.2409,2.3841,5.9887
4,3,1,2021-08-01 22:58:29.250000,-57,-79,-54,2.0449,11.0662,1.6243
4,3,1,2021-08-01 22:58:29.250000,-58,-255,-69,2.2080,50.0000,5.1365
4,3,1,2021-08-01 22:58:29.250000,-86,-255,-255,18.9380,50.0000,50.0000
4,3,1,2021-08-01 22:58:29.250000,-83,-255,-255,15.0430,50.0000,50.0000
4,3,1,2021-08-01 22:58:29.250000,-74,-60,-65,7.5393,2.5743,3.7786
4,3,1,2021-08-01 22:58:29.250000,-74,-65,-57,7.5393,3.7786,2.0449
4,3,1,2021-08-01 22:58:29.250000,-73,-63,-65,6.9823,3.2409,3.7786
4,3,1,2021-08-01 22:58:29.250000,-73,-65,-65,6.9823,3.7786,3.7786
4,3,1,2021-08-01 22:58:29.250000,-255,-64,-255,50.0000,3.4995,50.0000
4,3,1,2021-08-01 22:58:29.250000,-255,-61,-255,50.0000,2.7797,50.0000
4,3,1,2021-08-01 22:59:29.250000,-60,-54,-55,2.5743,1.6243,1.7539
4,3,1,2021-08-01 22:59:29.250000,-57,-57,-81,2.0449,2.0449,12.9023
4,3,1,2021-08-01 22:59:29.250000,-62,-77,-70,3.0015,9.4915,5.5463
4,3,1,2021-08-01 22:59:29.250000,-84,-57,-55,16.2430,2.0449,1.7539
4,3,1,2021-08-01 22:59:29.250000,-63,-255,-56,3.2409,50.0000,1.8938
4,3,1,2021-08-01 22:59:29.250000,-58,-255,-68,2.2080,50.0000,4.7570
4,3,1,2021-08-01 22:59:29.250000,-73,-65,-65,6.9823,3.7786,3.7786
4,3,1,2021-08-01 22:59:29.250000,-72,-63,-59,6.4665,3.2409,2.3841
4,3,1,2021-08-01 22:59:29.250000,-73,-65,-65,6.9823,3.7786,3.7786
4,3,1,2021-08-01 22:59:29.250000,-75,-60,-56,8.1408,2.5743,1.8938
4,3,1,2021-08-01 22:59:29.250000,-72,-63,-59,6.4665,3.2409,2.3841
