x,y,z,date,scanner1,scanner2,scanner3
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-75
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-76
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-74
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-72
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-71
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-73
3,4,1,2021-08-01 23:05:29.250000,-74,-73,-72
3,4,1,2021-08-01 23:05:29.250000,-74,-74,-80
3,4,1,2021-08-01 23:05:29.250000,-70,-74,-80
3,4,1,2021-08-01 23:05:29.250000,-74,-74,-74
3,4,1,2021-08-01 23:05:29.250000,-76,-81,-80
3,4,1,2021-08-01 23:05:29.250000,-75,-74,-79
3,4,1,2021-08-01 23:05:29.250000,-71,-255,-255
3,4,1,2021-08-01 23:05:29.250000,-68,-70,-71
3,4,1,2021-08-01 23:05:29.250000,-73,-74,-71
3,4,1,2021-08-01 23:05:29.250000,-74,-68,-65
3,4,1,2021-08-01 23:05:29.250000,-77,-68,-71
3,4,1,2021-08-01 23:05:29.250000,-255,-72,-64
3,4,1,2021-08-01 23:05:29.250000,-255,-68,-70
3,4,1,2021-08-01 23:05:29.250000,-255,-70,-255
3,4,1,2021-08-01 23:07:29.250000,-255,-74,-255
3,4,1,2021-08-01 23:07:29.250000,-255,-74,-255
3,4,1,2021-08-01 23:07:29.250000,-255,-84,-255
3,4,1,2021-08-01 23:07:29.250000,-255,-73,-255
3,4,1,2021-08-01 23:07:29.250000,-255,-75,-255
3,4,1,2021-08-01 23:07:29.250000,-255,-68,-255
3,4,1,2021-08-01 23:07:29.250000,-255,-75,-255
3,4,1,2021-08-01 23:07:29.250000,-255,-69,-255
3,4,1,2021-08-01 23:07:29.250000,-255,-67,-255
3,4,1,2021-08-01 23:07:29.250000,-255,-74,-255
4,4,1,2021-08-01 23:03:29.250000,-75,-75,-64
4,4,1,2021-08-01 23:03:29.250000,-68,-69,-73
4,4,1,2021-08-01 23:03:29.250000,-73,-69,-69
4,4,1,2021-08-01 23:03:29.250000,-255,-71,-63
4,4,1,2021-08-01 23:03:29.250000,-255,-70,-65
4,4,1,2021-08-01 23:03:29.250000,-255,-255,-65
4,4,1,2021-08-01 23:03:29.250000,-255,-255,-69
4,4,1,2021-08-01 23:03:29.250000,-255,-255,-70
4,4,1,2021-08-01 23:03:29.250000,-73,-74,-72
4,4,1,2021-08-01 23:03:29.250000,-70,-84,-80
4,4,1,2021-08-01 23:03:29.250000,-75,-75,-79
4,4,1,2021-08-01 23:03:29.250000,-71,-74,-76
4,4,1,2021-08-01 23:03:29.250000,-75,-255,-79
4,4,1,2021-08-01 23:04:29.250000,-71,-94,-72
4,4,1,2021-08-01 23:04:29.250000,-71,-67,-65
4,4,1,2021-08-01 23:04:29.250000,-73,-68,-72
4,4,1,2021-08-01 23:04:29.250000,-80,-75,-65
4,4,1,2021-08-01 23:04:29.250000,-72,-75,-71
4,4,1,2021-08-01 23:04:29.250000,-69,-71,-255
4,4,1,2021-08-01 23:04:29.250000,-73,-75,-80
4,4,1,2021-08-01 23:04:29.250000,-75,-74,-72
4,4,1,2021-08-01 23:04:29.250000,-70,-74,-79
4,4,1,2021-08-01 23:04:29.250000,-255,-74,-76
4,4,1,2021-08-01 23:04:29.250000,-255,-85,-76
4,4,1,2021-08-01 23:04:29.250000,-255,-74,-255
4,4,1,2021-08-01 23:04:29.250000,-255,-85,-255
4,4,1,2021-08-01 23:06:29.250000,-68,-69,-63
4,4,1,2021-08-01 23:06:29.250000,-73,-70,-71
4,4,1,2021-08-01 23:06:29.250000,-76,-73,-64
4,4,1,2021-08-01 23:06:29.250000,-77,-70,-65
4,4,1,2021-08-01 23:06:29.250000,-68,-75,-73
4,4,1,2021-08-01 23:06:29.250000,-71,-68,-70
4,4,1,2021-08-01 23:06:29.250000,-77,-255,-255
4,4,1,2021-08-01 23:06:29.250000,-75,-85,-78
4,4,1,2021-08-01 23:06:29.250000,-71,-74,-79
4,4,1,2021-08-01 23:06:29.250000,-74,-74,-79
4,4,1,2021-08-01 23:06:29.250000,-75,-74,-80
4,4,1,2021-08-01 23:06:29.250000,-70,-255,-74
4,4,1,2021-08-01 23:06:29.250000,-75,-255,-79
4,4,1,2021-08-01 23:06:29.250000,-255,-255,-79
3,5,1,2021-08-01 23:24:29.250000,-65,-82,-74
3,5,1,2021-08-01 23:24:29.250000,-90,-73,-75
3,5,1,2021-08-01 23:24:29.250000,-65,-86,-73
3,5,1,2021-08-01 23:24:29.250000,-66,-72,-74
3,5,1,2021-08-01 23:24:29.250000,-66,-72,-73
3,5,1,2021-08-01 23:24:29.250000,-255,-88,-255
3,5,1,2021-08-01 23:24:29.250000,-75,-78,-81
3,5,1,2021-08-01 23:24:29.250000,-71,-83,-84
3,5,1,2021-08-01 23:24:29.250000,-67,-80,-78
3,5,1,2021-08-01 23:24:29.250000,-73,-80,-85
3,5,1,2021-08-01 23:24:29.250000,-73,-78,-255
3,5,1,2021-08-01 23:24:29.250000,-255,-83,-255
3,5,1,2021-08-01 23:24:29.250000,-255,-79,-255
3,5,1,2021-08-01 23:25:29.250000,-65,-88,-70
3,5,1,2021-08-01 23:25:29.250000,-65,-72,-73
3,5,1,2021-08-01 23:25:29.250000,-64,-92,-73
3,5,1,2021-08-01 23:25:29.250000,-255,-83,-73
3,5,1,2021-08-01 23:25:29.250000,-255,-88,-255
3,5,1,2021-08-01 23:25:29.250000,-76,-78,-76
3,5,1,2021-08-01 23:25:29.250000,-67,-80,-93
3,5,1,2021-08-01 23:25:29.250000,-76,-79,-77
3,5,1,2021-08-01 23:25:29.250000,-73,-78,-75
3,5,1,2021-08-01 23:25:29.250000,-69,-255,-255
3,5,1,2021-08-01 23:25:29.250000,-74,-255,-255
3,5,1,2021-08-01 23:26:29.250000,-64,-84,-73
3,5,1,2021-08-01 23:26:29.250000,-65,-89,-78
3,5,1,2021-08-01 23:26:29.250000,-65,-73,-73
3,5,1,2021-08-01 23:26:29.250000,-65,-255,-69
3,5,1,2021-08-01 23:26:29.250000,-64,-255,-73
3,5,1,2021-08-01 23:26:29.250000,-255,-255,-72
3,5,1,2021-08-01 23:26:29.250000,-76,-77,-78
