x,y,z,date,scanner1,scanner2,scanner3,dist1,dist2,dist3
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-75,50.0000,50.0000,8.1408
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-76,50.0000,50.0000,8.7902
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-74,50.0000,50.0000,7.5393
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-72,50.0000,50.0000,6.4665
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-71,50.0000,50.0000,5.9887
3,4,1,2021-08-01 23:02:29.250000,-255,-255,-73,50.0000,50.0000,6.9823
3,4,1,2021-08-01 23:05:29.250000,-74,-73,-72,7.5393,6.9823,6.4665
3,4,1,2021-08-01 23:05:29.250000,-74,-74,-80,7.5393,7.5393,11.9490
3,4,1,2021-08-01 23:05:29.250000,-70,-74,-80,5.5463,7.5393,11.9490
3,4,1,2021-08-01 23:05:29.250000,-74,-74,-74,7.5393,7.5393,7.5393
3,4,1,2021-08-01 23:05:29.250000,-76,-81,-80,8.7902,12.9023,11.9490
3,4,1,2021-08-01 23:05:29.250000,-75,-74,-79,8.1408,7.5393,11.0662
3,4,1,2021-08-01 23:05:29.250000,-71,-255,-255,5.9887,50.0000,50.0000
3,4,1,2021-08-01 23:05:29.250000,-68,-70,-71,4.7570,5.5463,5.9887
3,4,1,2021-08-01 23:05:29.250000,-73,-74,-71,6.9823,7.5393,5.9887
3,4,1,2021-08-01 23:05:29.250000,-74,-68,-65,7.5393,4.7570,3.7786
3,4,1,2021-08-01 23:05:29.250000,-77,-68,-71,9.4915,4.7570,5.9887
3,4,1,2021-08-01 23:05:29.250000,-255,-72,-64,50.0000,6.4665,3.4995
3,4,1,2021-08-01 23:05:29.250000,-255,-68,-70,50.0000,4.7570,5.5463
3,4,1,2021-08-01 23:05:29.250000,-255,-70,-255,50.0000,5.5463,50.0000
3,4,1,2021-08-01 23:07:29.250000,-255,-74,-255,50.0000,7.5393,50.0000
3,4,1,2021-08-01 23:07:29.250000,-255,-74,-255,50.0000,7.5393,50.0000
3,4,1,2021-08-01 23:07:29.250000,-255,-84,-255,50.0000,16.2430,50.0000
3,4,1,2021-08-01 23:07:29.250000,-255,-73,-255,50.0000,6.9823,50.0000
3,4,1,2021-08-01 23:07:29.250000,-255,-75,-255,50.0000,8.1408,50.0000
3,4,1,2021-08-01 23:07:29.250000,-255,-68,-255,50.0000,4.7570,50.0000
3,4,1,2021-08-01 23:07:29.250000,-255,-75,-255,50.0000,8.1408,50.0000
3,4,1,2021-08-01 23:07:29.250000,-255,-69,-255,50.0000,5.1365,50.0000
3,4,1,2021-08-01 23:07:29.250000,-255,-67,-255,50.0000,4.4055,50.0000
3,4,1,2021-08-01 23:07:29.250000,-255,-74,-255,50.0000,7.5393,50.0000
4,4,1,2021-08-01 23:03:29.250000,-75,-75,-64,8.1408,8.1408,3.4995
4,4,1,2021-08-01 23:03:29.250000,-68,-69,-73,4.7570,5.1365,6.9823
4,4,1,2021-08-01 23:03:29.250000,-73,-69,-69,6.9823,5.1365,5.1365
4,4,1,2021-08-01 23:03:29.250000,-255,-71,-63,50.0000,5.9887,3.2409
4,4,1,2021-08-01 23:03:29.250000,-255,-70,-65,50.0000,5.5463,3.7786
