x,y,z,date,scanner1,scanner2,scanner3,scanner4
1,7,1,2021-08-01 22:15:48.419000,-60,-72,-81,-75
1,7,1,2021-08-01 22:15:48.419000,-60,-68,-82,-74
1,7,1,2021-08-01 22:15:48.419000,-60,-69,-255,-75
1,7,1,2021-08-01 22:15:48.419000,-60,-71,-255,-75
1,7,1,2021-08-01 22:15:48.419000,-60,-70,-255,-75
1,7,1,2021-08-01 22:15:48.419000,-62,-68,-255,-75
1,7,1,2021-08-01 22:15:48.419000,-255,-255,-255,-80
1,7,1,2021-08-01 22:15:48.419000,-70,-57,-78,-78
1,7,1,2021-08-01 22:15:48.419000,-74,-61,-79,-76
1,7,1,2021-08-01 22:15:48.419000,-69,-58,-79,-77
1,7,1,2021-08-01 22:15:48.419000,-255,-56,-82,-93
1,7,1,2021-08-01 22:15:48.419000,-255,-255,-255,-93
1,7,1,2021-08-01 22:16:48.419000,-62,-68,-86,-76
1,7,1,2021-08-01 22:16:48.419000,-60,-70,-80,-75
1,7,1,2021-08-01 22:16:48.419000,-60,-69,-86,-76
1,7,1,2021-08-01 22:16:48.419000,-255,-71,-82,-80
1,7,1,2021-08-01 22:16:48.419000,-255,-68,-86,-89
1,7,1,2021-08-01 22:16:48.419000,-255,-255,-87,-79
1,7,1,2021-08-01 22:16:48.419000,-255,-255,-255,-87
1,7,1,2021-08-01 22:16:48.419000,-75,-56,-83,-77
1,7,1,2021-08-01 22:16:48.419000,-68,-59,-78,-92
1,7,1,2021-08-01 22:16:48.419000,-74,-58,-83,-93
1,7,1,2021-08-01 22:16:48.419000,-68,-56,-255,-93
1,7,1,2021-08-01 22:16:48.419000,-255,-57,-255,-255
3,6,1,2021-08-01 22:18:48.419000,-74,-58,-72,-255
3,6,1,2021-08-01 22:18:48.419000,-82,-55,-71,-255
3,6,1,2021-08-01 22:18:48.419000,-77,-54,-68,-255
3,6,1,2021-08-01 22:18:48.419000,-74,-255,-71,-255
3,6,1,2021-08-01 22:18:48.419000,-77,-255,-72,-255
3,6,1,2021-08-01 22:18:48.419000,-64,-88,-80,-255
3,6,1,2021-08-01 22:18:48.419000,-71,-47,-78,-255
3,6,1,2021-08-01 22:18:48.419000,-71,-45,-72,-255
3,6,1,2021-08-01 22:18:48.419000,-71,-53,-71,-255
3,6,1,2021-08-01 22:18:48.419000,-255,-53,-255,-255
3,6,1,2021-08-01 22:18:48.419000,-255,-44,-255,-255
3,6,1,2021-08-01 22:19:48.419000,-82,-57,-73,-79
3,6,1,2021-08-01 22:19:48.419000,-79,-53,-72,-81
3,6,1,2021-08-01 22:19:48.419000,-74,-59,-67,-81
3,6,1,2021-08-01 22:19:48.419000,-82,-57,-67,-80
3,6,1,2021-08-01 22:19:48.419000,-74,-54,-70,-81
3,6,1,2021-08-01 22:19:48.419000,-78,-58,-68,-82
3,6,1,2021-08-01 22:19:48.419000,-82,-255,-255,-255
3,6,1,2021-08-01 22:19:48.419000,-64,-45,-79,-79
3,6,1,2021-08-01 22:19:48.419000,-71,-53,-71,-78
3,6,1,2021-08-01 22:19:48.419000,-62,-45,-80,-83
3,6,1,2021-08-01 22:19:48.419000,-70,-51,-107,-84
3,6,1,2021-08-01 22:19:48.419000,-62,-46,-81,-82
3,6,1,2021-08-01 22:19:48.419000,-255,-53,-91,-255
3,6,1,2021-08-01 22:19:48.419000,-255,-44,-255,-255
3,6,1,2021-08-01 22:19:48.419000,-255,-54,-255,-255
3,6,1,2021-08-01 22:20:48.419000,-255,-255,-255,-78
