x,y,z,date,scanner1,scanner2,scanner3,scanner4,dist1,dist2,dist3,dist4
1,7,1,2021-08-01 22:15:48.419000,-60,-72,-81,-75,2.5743,6.4665,12.9023,8.1408
1,7,1,2021-08-01 22:15:48.419000,-60,-68,-82,-74,2.5743,4.7570,13.9316,7.5393
1,7,1,2021-08-01 22:15:48.419000,-60,-69,-255,-75,2.5743,5.1365,50.0000,8.1408
1,7,1,2021-08-01 22:15:48.419000,-60,-71,-255,-75,2.5743,5.9887,50.0000,8.1408
1,7,1,2021-08-01 22:15:48.419000,-60,-70,-255,-75,2.5743,5.5463,50.0000,8.1408
1,7,1,2021-08-01 22:15:48.419000,-62,-68,-255,-75,3.0015,4.7570,50.0000,8.1408
1,7,1,2021-08-01 22:15:48.419000,-255,-255,-255,-80,50.0000,50.0000,50.0000,11.9490
1,7,1,2021-08-01 22:15:48.419000,-70,-57,-78,-78,5.5463,2.0449,10.2487,10.2487
1,7,1,2021-08-01 22:15:48.419000,-74,-61,-79,-76,7.5393,2.7797,11.0662,8.7902
1,7,1,2021-08-01 22:15:48.419000,-69,-58,-79,-77,5.1365,2.2080,11.0662,9.4915
1,7,1,2021-08-01 22:15:48.419000,-255,-56,-82,-93,50.0000,1.8938,13.9316,32.4091
1,7,1,2021-08-01 22:15:48.419000,-255,-255,-255,-93,50.0000,50.0000,50.0000,32.4091
1,7,1,2021-08-01 22:16:48.419000,-62,-68,-86,-76,3.0015,4.7570,18.9380,8.7902
1,7,1,2021-08-01 22:16:48.419000,-60,-70,-80,-75,2.5743,5.5463,11.9490,8.1408
1,7,1,2021-08-01 22:16:48.419000,-60,-69,-86,-76,2.5743,5.1365,18.9380,8.7902
1,7,1,2021-08-01 22:16:48.419000,-255,-71,-82,-80,50.0000,5.9887,13.9316,11.9490
1,7,1,2021-08-01 22:16:48.419000,-255,-68,-86,-89,50.0000,4.7570,18.9380,23.8415
1,7,1,2021-08-01 22:16:48.419000,-255,-255,-87,-79,50.0000,50.0000,20.4487,11.0662
1,7,1,2021-08-01 22:16:48.419000,-255,-255,-255,-87,50.0000,50.0000,50.0000,20.4487
1,7,1,2021-08-01 22:16:48.419000,-75,-56,-83,-77,8.1408,1.8938,15.0430,9.4915
1,7,1,2021-08-01 22:16:48.419000,-68,-59,-78,-92,4.7570,2.3841,10.2487,30.0147
1,7,1,2021-08-01 22:16:48.419000,-74,-58,-83,-93,7.5393,2.2080,15.0430,32.4091
1,7,1,2021-08-01 22:16:48.419000,-68,-56,-255,-93,4.7570,1.8938,50.0000,32.4091
1,7,1,2021-08-01 22:16:48.419000,-255,-57,-255,-255,50.0000,2.0449,50.0000,50.0000
3,6,1,2021-08-01 22:18:48.419000,-74,-58,-72,-255,7.5393,2.2080,6.4665,50.0000
3,6,1,2021-08-01 22:18:48.419000,-82,-55,-71,-255,13.9316,1.7539,5.9887,50.0000
3,6,1,2021-08-01 22:18:48.419000,-77,-54,-68,-255,9.4915,1.6243,4.7570,50.0000
3,6,1,2021-08-01 22:18:48.419000,-74,-255,-71,-255,7.5393,50.0000,5.9887,50.0000
3,6,1,2021-08-01 22:18:48.419000,-77,-255,-72,-255,9.4915,50.0000,6.4665,50.0000
