x,y,z,date,scanner1,scanner2,scanner3,scanner4
2,2,1,2021-08-01 21:19:03.733000,-93,-255,-255,-255
2,2,1,2021-08-01 21:19:03.733000,-97,-255,-255,-255
2,2,1,2021-08-01 21:19:03.733000,-84,-255,-255,-255
2,2,1,2021-08-01 21:19:03.733000,-76,-255,-255,-255
2,2,1,2021-08-01 21:19:03.733000,-76,-255,-255,-255
2,2,1,2021-08-01 21:19:03.733000,-76,-255,-255,-255
2,2,1,2021-08-01 21:19:03.733000,-75,-255,-255,-255
2,2,1,2021-08-01 21:20:03.733000,-84,-255,-255,-255
2,2,1,2021-08-01 21:20:03.733000,-91,-255,-255,-255
2,2,1,2021-08-01 21:20:03.733000,-84,-255,-255,-255
2,2,1,2021-08-01 21:20:03.733000,-83,-255,-255,-255
2,2,1,2021-08-01 21:20:03.733000,-94,-255,-255,-255
2,2,1,2021-08-01 21:20:03.733000,-76,-255,-255,-255
2,2,1,2021-08-01 21:20:03.733000,-76,-255,-255,-255
2,2,1,2021-08-01 21:20:03.733000,-74,-255,-255,-255
2,2,1,2021-08-01 21:20:03.733000,-78,-255,-255,-255
1,2,1,2021-08-01 21:28:03.733000,-77,-255,-67,-61
1,2,1,2021-08-01 21:28:03.733000,-75,-255,-64,-86
1,2,1,2021-08-01 21:28:03.733000,-75,-255,-67,-60
1,2,1,2021-08-01 21:28:03.733000,-75,-255,-66,-63
1,2,1,2021-08-01 21:28:03.733000,-255,-255,-76,-71
1,2,1,2021-08-01 21:28:03.733000,-255,-255,-66,-255
1,2,1,2021-08-01 21:28:03.733000,-82,-255,-67,-74
1,2,1,2021-08-01 21:28:03.733000,-92,-255,-66,-74
1,2,1,2021-08-01 21:28:03.733000,-92,-255,-66,-75
1,2,1,2021-08-01 21:28:03.733000,-82,-255,-69,-71
1,2,1,2021-08-01 21:28:03.733000,-93,-255,-255,-255
2,2,1,2021-08-01 21:29:03.733000,-83,-91,-69,-71
2,2,1,2021-08-01 21:29:03.733000,-92,-87,-66,-76
2,2,1,2021-08-01 21:29:03.733000,-83,-83,-69,-71
2,2,1,2021-08-01 21:29:03.733000,-91,-85,-56,-255
2,2,1,2021-08-01 21:29:03.733000,-83,-96,-69,-255
2,2,1,2021-08-01 21:29:03.733000,-255,-84,-66,-255
2,2,1,2021-08-01 21:29:03.733000,-75,-82,-68,-71
2,2,1,2021-08-01 21:29:03.733000,-76,-87,-62,-70
2,2,1,2021-08-01 21:29:03.733000,-75,-83,-66,-70
2,2,1,2021-08-01 21:29:03.733000,-77,-89,-64,-60
2,2,1,2021-08-01 21:29:03.733000,-255,-255,-69,-59
2,2,1,2021-08-01 21:29:03.733000,-255,-255,-88,-255
3,3,1,2021-08-01 21:32:03.733000,-88,-255,-58,-255
3,3,1,2021-08-01 21:32:03.733000,-88,-255,-62,-255
3,3,1,2021-08-01 21:32:03.733000,-82,-255,-58,-255
3,3,1,2021-08-01 21:32:03.733000,-87,-255,-59,-255
3,3,1,2021-08-01 21:32:03.733000,-86,-255,-59,-255
3,3,1,2021-08-01 21:32:03.733000,-255,-255,-58,-255
3,3,1,2021-08-01 21:32:03.733000,-255,-255,-60,-255
3,3,1,2021-08-01 21:32:03.733000,-84,-255,-58,-255
3,3,1,2021-08-01 21:32:03.733000,-78,-255,-76,-255
3,3,1,2021-08-01 21:32:03.733000,-74,-255,-57,-255
3,3,1,2021-08-01 21:32:03.733000,-76,-255,-56,-255
3,3,1,2021-08-01 21:32:03.733000,-74,-255,-58,-255
3,3,1,2021-08-01 21:33:03.733000,-255,-73,-57,-79
3,3,1,2021-08-01 21:33:03.733000,-255,-69,-59,-79
3,3,1,2021-08-01 21:33:03.733000,-255,-69,-58,-75
3,3,1,2021-08-01 21:33:03.733000,-255,-73,-59,-79
3,3,1,2021-08-01 21:33:03.733000,-255,-69,-60,-255
3,3,1,2021-08-01 21:33:03.733000,-255,-255,-59,-255
3,3,1,2021-08-01 21:33:03.733000,-255,-255,-60,-255
3,3,1,2021-08-01 21:33:03.733000,-255,-71,-58,-78
3,3,1,2021-08-01 21:33:03.733000,-255,-71,-78,-77
3,3,1,2021-08-01 21:33:03.733000,-255,-82,-58,-76
3,3,1,2021-08-01 21:33:03.733000,-255,-70,-54,-72
3,3,1,2021-08-01 21:33:03.733000,-255,-72,-57,-71
3,3,1,2021-08-01 21:33:03.733000,-255,-255,-57,-72
3,3,1,2021-08-01 21:34:03.733000,-255,-255,-255,-75
3,3,1,2021-08-01 21:34:03.733000,-255,-255,-255,-75
3,3,1,2021-08-01 21:34:03.733000,-255,-255,-255,-76
3,3,1,2021-08-01 21:34:03.733000,-255,-255,-255,-82
3,3,1,2021-08-01 21:34:03.733000,-255,-255,-255,-81
3,3,1,2021-08-01 21:34:03.733000,-255,-255,-255,-74
3,3,1,2021-08-01 21:34:03.733000,-255,-255,-255,-74
3,3,1,2021-08-01 21:34:03.733000,-255,-255,-255,-75
2,3,1,2021-08-01 21:36:03.733000,-255,-90,-78,-73
2,3,1,2021-08-01 21:36:03.733000,-255,-76,-72,-85
2,3,1,2021-08-01 21:36:03.733000,-255,-76,-82,-69
2,3,1,2021-08-01 21:36:03.733000,-255,-74,-72,-69
2,3,1,2021-08-01 21:36:03.733000,-255,-255,-255,-81
2,3,1,2021-08-01 21:36:03.733000,-255,-255,-255,-77
2,3,1,2021-08-01 21:36:03.733000,-255,-255,-255,-79
2,3,1,2021-08-01 21:36:03.733000,-255,-78,-80,-71
2,3,1,2021-08-01 21:36:03.733000,-255,-77,-74,-82
2,3,1,2021-08-01 21:36:03.733000,-255,-77,-81,-58
2,3,1,2021-08-01 21:36:03.733000,-255,-78,-255,-57
2,3,1,2021-08-01 21:36:03.733000,-255,-77,-255,-68
2,3,1,2021-08-01 21:36:03.733000,-255,-255,-255,-68
2,3,1,2021-08-01 21:36:03.733000,-255,-255,-255,-67
1,3,1,2021-08-01 21:37:03.733000,-255,-77,-74,-64
1,3,1,2021-08-01 21:37:03.733000,-255,-77,-74,-65
1,3,1,2021-08-01 21:37:03.733000,-255,-76,-72,-64
1,3,1,2021-08-01 21:37:03.733000,-255,-77,-81,-65
1,3,1,2021-08-01 21:37:03.733000,-255,-255,-72,-64
1,3,1,2021-08-01 21:37:03.733000,-255,-255,-82,-68
1,3,1,2021-08-01 21:37:03.733000,-255,-75,-73,-75
1,3,1,2021-08-01 21:37:03.733000,-255,-81,-72,-75
1,3,1,2021-08-01 21:37:03.733000,-255,-75,-61,-75
1,3,1,2021-08-01 21:37:03.733000,-255,-76,-72,-70
1,3,1,2021-08-01 21:37:03.733000,-255,-84,-60,-69
1,3,1,2021-08-01 21:37:03.733000,-255,-255,-255,-72
1,3,1,2021-08-01 21:37:03.733000,-255,-255,-255,-69
1,3,1,2021-08-01 21:38:03.733000,-255,-78,-73,-68
1,3,1,2021-08-01 21:38:03.733000,-255,-75,-80,-68
1,3,1,2021-08-01 21:38:03.733000,-255,-77,-72,-68
1,3,1,2021-08-01 21:38:03.733000,-255,-76,-72,-64
1,3,1,2021-08-01 21:38:03.733000,-255,-255,-72,-64
1,3,1,2021-08-01 21:38:03.733000,-255,-255,-255,-65
1,3,1,2021-08-01 21:38:03.733000,-255,-74,-81,-69
1,3,1,2021-08-01 21:38:03.733000,-255,-80,-72,-91
1,3,1,2021-08-01 21:38:03.733000,-255,-76,-79,-68
1,3,1,2021-08-01 21:38:03.733000,-255,-75,-72,-73
1,3,1,2021-08-01 21:38:03.733000,-255,-75,-78,-255
1,3,1,2021-08-01 21:38:03.733000,-255,-255,-60,-255
1,4,1,2021-08-01 21:40:03.733000,-255,-82,-79,-64
1,4,1,2021-08-01 21:40:03.733000,-255,-73,-82,-62
