x,y,z,date,scanner1,scanner2,scanner3,scanner4,dist1,dist2,dist3,dist4
2,2,1,2021-08-01 21:19:03.733000,-93,-255,-255,-255,32.4091,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:19:03.733000,-97,-255,-255,-255,44.0555,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:19:03.733000,-84,-255,-255,-255,16.2430,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:19:03.733000,-76,-255,-255,-255,8.7902,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:19:03.733000,-76,-255,-255,-255,8.7902,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:19:03.733000,-76,-255,-255,-255,8.7902,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:19:03.733000,-75,-255,-255,-255,8.1408,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:20:03.733000,-84,-255,-255,-255,16.2430,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:20:03.733000,-91,-255,-255,-255,27.7971,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:20:03.733000,-84,-255,-255,-255,16.2430,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:20:03.733000,-83,-255,-255,-255,15.0430,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:20:03.733000,-94,-255,-255,-255,34.9945,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:20:03.733000,-76,-255,-255,-255,8.7902,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:20:03.733000,-76,-255,-255,-255,8.7902,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:20:03.733000,-74,-255,-255,-255,7.5393,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:20:03.733000,-78,-255,-255,-255,10.2487,50.0000,50.0000,50.0000
1,2,1,2021-08-01 21:28:03.733000,-77,-255,-67,-61,9.4915,50.0000,4.4055,2.7797
1,2,1,2021-08-01 21:28:03.733000,-75,-255,-64,-86,8.1408,50.0000,3.4995,18.9380
1,2,1,2021-08-01 21:28:03.733000,-75,-255,-67,-60,8.1408,50.0000,4.4055,2.5743
1,2,1,2021-08-01 21:28:03.733000,-75,-255,-66,-63,8.1408,50.0000,4.0801,3.2409
1,2,1,2021-08-01 21:28:03.733000,-255,-255,-76,-71,50.0000,50.0000,8.7902,5.9887
1,2,1,2021-08-01 21:28:03.733000,-255,-255,-66,-255,50.0000,50.0000,4.0801,50.0000
1,2,1,2021-08-01 21:28:03.733000,-82,-255,-67,-74,13.9316,50.0000,4.4055,7.5393
1,2,1,2021-08-01 21:28:03.733000,-92,-255,-66,-74,30.0147,50.0000,4.0801,7.5393
1,2,1,2021-08-01 21:28:03.733000,-92,-255,-66,-75,30.0147,50.0000,4.0801,8.1408
1,2,1,2021-08-01 21:28:03.733000,-82,-255,-69,-71,13.9316,50.0000,5.1365,5.9887
1,2,1,2021-08-01 21:28:03.733000,-93,-255,-255,-255,32.4091,50.0000,50.0000,50.0000
2,2,1,2021-08-01 21:29:03.733000,-83,-91,-69,-71,15.0430,27.7971,5.1365,5.9887
2,2,1,2021-08-01 21:29:03.733000,-92,-87,-66,-76,30.0147,20.4487,4.0801,8.7902
2,2,1,2021-08-01 21:29:03.733000,-83,-83,-69,-71,15.0430,15.0430,5.1365,5.9887
2,2,1,2021-08-01 21:29:03.733000,-91,-85,-56,-255,27.7971,17.5388,1.8938,50.0000
2,2,1,2021-08-01 21:29:03.733000,-83,-96,-69,-255,15.0430,40.8006,5.1365,50.0000
2,2,1,2021-08-01 21:29:03.733000,-255,-84,-66,-255,50.0000,16.2430,4.0801,50.0000
2,2,1,2021-08-01 21:29:03.733000,-75,-82,-68,-71,8.1408,13.9316,4.7570,5.9887
2,2,1,2021-08-01 21:29:03.733000,-76,-87,-62,-70,8.7902,20.4487,3.0015,5.5463
2,2,1,2021-08-01 21:29:03.733000,-75,-83,-66,-70,8.1408,15.0430,4.0801,5.5463
2,2,1,2021-08-01 21:29:03.733000,-77,-89,-64,-60,9.4915,23.8415,3.4995,2.5743
2,2,1,2021-08-01 21:29:03.733000,-255,-255,-69,-59,50.0000,50.0000,5.1365,2.3841
2,2,1,2021-08-01 21:29:03.733000,-255,-255,-88,-255,50.0000,50.0000,22.0800,50.0000
3,3,1,2021-08-01 21:32:03.733000,-88,-255,-58,-255,22.0800,50.0000,2.2080,50.0000
3,3,1,2021-08-01 21:32:03.733000,-88,-255,-62,-255,22.0800,50.0000,3.0015,50.0000
3,3,1,2021-08-01 21:32:03.733000,-82,-255,-58,-255,13.9316,50.0000,2.2080,50.0000
3,3,1,2021-08-01 21:32:03.733000,-87,-255,-59,-255,20.4487,50.0000,2.3841,50.0000
3,3,1,2021-08-01 21:32:03.733000,-86,-255,-59,-255,18.9380,50.0000,2.3841,50.0000
3,3,1,2021-08-01 21:32:03.733000,-255,-255,-58,-255,50.0000,50.0000,2.2080,50.0000
3,3,1,2021-08-01 21:32:03.733000,-255,-255,-60,-255,50.0000,50.0000,2.5743,50.0000
3,3,1,2021-08-01 21:32:03.733000,-84,-255,-58,-255,16.2430,50.0000,2.2080,50.0000
3,3,1,2021-08-01 21:32:03.733000,-78,-255,-76,-255,10.2487,50.0000,8.7902,50.0000
3,3,1,2021-08-01 21:32:03.733000,-74,-255,-57,-255,7.5393,50.0000,2.0449,50.0000
3,3,1,2021-08-01 21:32:03.733000,-76,-255,-56,-255,8.7902,50.0000,1.8938,50.0000
3,3,1,2021-08-01 21:32:03.733000,-74,-255,-58,-255,7.5393,50.0000,2.2080,50.0000
3,3,1,2021-08-01 21:33:03.733000,-255,-73,-57,-79,50.0000,6.9823,2.0449,11.0662
3,3,1,2021-08-01 21:33:03.733000,-255,-69,-59,-79,50.0000,5.1365,2.3841,11.0662
3,3,1,2021-08-01 21:33:03.733000,-255,-69,-58,-75,50.0000,5.1365,2.2080,8.1408
3,3,1,2021-08-01 21:33:03.733000,-255,-73,-59,-79,50.0000,6.9823,2.3841,11.0662
