x,y,z,date,scanner1,scanner2,scanner3
1,6,1,2021-08-01 21:01:35.651000,-57,-78,-255
1,6,1,2021-08-01 21:01:35.651000,-52,-75,-255
1,6,1,2021-08-01 21:01:35.651000,-52,-78,-255
1,6,1,2021-08-01 21:01:35.651000,-53,-255,-255
1,6,1,2021-08-01 21:01:35.651000,-39,-79,-255
1,6,1,2021-08-01 21:01:35.651000,-40,-255,-255
1,6,1,2021-08-01 21:01:35.651000,-46,-255,-255
1,6,1,2021-08-01 21:01:35.651000,-39,-255,-255
1,6,1,2021-08-01 21:01:35.651000,-40,-255,-255
1,6,1,2021-08-01 21:02:35.651000,-52,-75,-73
1,6,1,2021-08-01 21:02:35.651000,-52,-78,-75
1,6,1,2021-08-01 21:02:35.651000,-57,-75,-86
1,6,1,2021-08-01 21:02:35.651000,-57,-81,-73
1,6,1,2021-08-01 21:02:35.651000,-255,-78,-79
1,6,1,2021-08-01 21:02:35.651000,-255,-255,-85
1,6,1,2021-08-01 21:02:35.651000,-255,-255,-73
1,6,1,2021-08-01 21:02:35.651000,-47,-77,-94
1,6,1,2021-08-01 21:02:35.651000,-40,-77,-93
1,6,1,2021-08-01 21:02:35.651000,-39,-77,-79
1,6,1,2021-08-01 21:02:35.651000,-40,-76,-80
1,6,1,2021-08-01 21:02:35.651000,-47,-78,-79
1,6,1,2021-08-01 21:02:35.651000,-38,-255,-255
1,6,1,2021-08-01 21:02:35.651000,-39,-255,-255
1,7,1,2021-08-01 21:03:35.651000,-255,-78,-96
1,7,1,2021-08-01 21:03:35.651000,-255,-76,-79
1,7,1,2021-08-01 21:03:35.651000,-255,-79,-92
1,7,1,2021-08-01 21:03:35.651000,-255,-76,-82
1,7,1,2021-08-01 21:03:35.651000,-255,-255,-96
1,7,1,2021-08-01 21:03:35.651000,-255,-255,-78
1,7,1,2021-08-01 21:03:35.651000,-255,-78,-76
1,7,1,2021-08-01 21:03:35.651000,-255,-74,-85
1,7,1,2021-08-01 21:03:35.651000,-255,-78,-77
1,7,1,2021-08-01 21:03:35.651000,-255,-75,-85
1,7,1,2021-08-01 21:03:35.651000,-255,-83,-77
1,7,1,2021-08-01 21:03:35.651000,-255,-255,-76
2,6,1,2021-08-01 21:04:35.651000,-255,-255,-77
2,6,1,2021-08-01 21:04:35.651000,-255,-255,-93
2,6,1,2021-08-01 21:04:35.651000,-255,-255,-91
2,6,1,2021-08-01 21:04:35.651000,-255,-255,-80
2,6,1,2021-08-01 21:04:35.651000,-255,-255,-92
2,6,1,2021-08-01 21:04:35.651000,-255,-255,-79
2,6,1,2021-08-01 21:04:35.651000,-255,-255,-81
2,6,1,2021-08-01 21:05:35.651000,-78,-84,-91
2,6,1,2021-08-01 21:05:35.651000,-255,-79,-80
2,6,1,2021-08-01 21:05:35.651000,-255,-84,-91
2,6,1,2021-08-01 21:05:35.651000,-255,-79,-82
2,6,1,2021-08-01 21:05:35.651000,-255,-82,-79
2,6,1,2021-08-01 21:05:35.651000,-255,-84,-78
2,6,1,2021-08-01 21:05:35.651000,-55,-66,-79
2,6,1,2021-08-01 21:05:35.651000,-255,-67,-73
2,6,1,2021-08-01 21:05:35.651000,-255,-65,-71
2,6,1,2021-08-01 21:05:35.651000,-255,-68,-68
2,6,1,2021-08-01 21:05:35.651000,-255,-67,-78
2,6,1,2021-08-01 21:05:35.651000,-255,-69,-255
2,6,1,2021-08-01 21:06:35.651000,-77,-83,-255
2,6,1,2021-08-01 21:06:35.651000,-82,-81,-255
2,6,1,2021-08-01 21:06:35.651000,-78,-80,-255
2,6,1,2021-08-01 21:06:35.651000,-85,-83,-255
2,6,1,2021-08-01 21:06:35.651000,-83,-80,-255
2,6,1,2021-08-01 21:06:35.651000,-255,-80,-255
2,6,1,2021-08-01 21:06:35.651000,-91,-65,-255
2,6,1,2021-08-01 21:06:35.651000,-57,-67,-255
2,6,1,2021-08-01 21:06:35.651000,-57,-64,-255
2,6,1,2021-08-01 21:06:35.651000,-65,-67,-255
2,6,1,2021-08-01 21:06:35.651000,-57,-67,-255
1,4,1,2021-08-01 21:08:35.651000,-255,-70,-73
1,4,1,2021-08-01 21:08:35.651000,-255,-65,-73
1,4,1,2021-08-01 21:08:35.651000,-255,-70,-73
1,4,1,2021-08-01 21:08:35.651000,-255,-73,-73
1,4,1,2021-08-01 21:08:35.651000,-255,-70,-73
1,4,1,2021-08-01 21:08:35.651000,-255,-70,-74
1,4,1,2021-08-01 21:08:35.651000,-255,-69,-74
1,4,1,2021-08-01 21:08:35.651000,-255,-68,-74
1,4,1,2021-08-01 21:08:35.651000,-255,-63,-73
1,4,1,2021-08-01 21:08:35.651000,-255,-66,-74
1,4,1,2021-08-01 21:08:35.651000,-255,-76,-75
1,4,1,2021-08-01 21:08:35.651000,-255,-63,-68
1,4,1,2021-08-01 21:08:35.651000,-255,-68,-76
2,5,1,2021-08-01 21:09:35.651000,-77,-63,-75
2,5,1,2021-08-01 21:09:35.651000,-83,-63,-75
2,5,1,2021-08-01 21:09:35.651000,-78,-77,-74
2,5,1,2021-08-01 21:09:35.651000,-84,-76,-75
2,5,1,2021-08-01 21:09:35.651000,-85,-255,-75
2,5,1,2021-08-01 21:09:35.651000,-75,-73,-73
2,5,1,2021-08-01 21:09:35.651000,-73,-70,-74
2,5,1,2021-08-01 21:09:35.651000,-76,-71,-74
2,5,1,2021-08-01 21:09:35.651000,-75,-73,-73
2,5,1,2021-08-01 21:09:35.651000,-73,-66,-74
2,5,1,2021-08-01 21:09:35.651000,-76,-70,-255
2,5,1,2021-08-01 21:09:35.651000,-255,-73,-255
1,4,1,2021-08-01 21:10:35.651000,-76,-255,-255
1,4,1,2021-08-01 21:10:35.651000,-75,-255,-255
1,4,1,2021-08-01 21:10:35.651000,-73,-255,-255
1,4,1,2021-08-01 21:10:35.651000,-76,-255,-255
1,4,1,2021-08-01 21:10:35.651000,-86,-255,-255
1,4,1,2021-08-01 21:10:35.651000,-79,-255,-255
1,4,1,2021-08-01 21:10:35.651000,-80,-255,-255
1,4,1,2021-08-01 21:10:35.651000,-77,-255,-255
1,4,1,2021-08-01 21:10:35.651000,-84,-255,-255
1,4,1,2021-08-01 21:10:35.651000,-78,-255,-255
1,4,1,2021-08-01 21:10:35.651000,-85,-255,-255
2,3,1,2021-08-01 21:12:35.651000,-255,-63,-58
2,3,1,2021-08-01 21:12:35.651000,-255,-62,-58
2,3,1,2021-08-01 21:12:35.651000,-255,-61,-56
2,3,1,2021-08-01 21:12:35.651000,-255,-63,-50
2,3,1,2021-08-01 21:12:35.651000,-255,-60,-59
2,3,1,2021-08-01 21:12:35.651000,-255,-62,-51
2,3,1,2021-08-01 21:12:35.651000,-255,-62,-59
2,3,1,2021-08-01 21:12:35.651000,-255,-63,-255
2,3,1,2021-08-01 21:12:35.651000,-255,-61,-255
2,3,1,2021-08-01 21:12:35.651000,-255,-65,-64
2,3,1,2021-08-01 21:12:35.651000,-255,-85,-56
2,3,1,2021-08-01 21:12:35.651000,-255,-58,-56
2,3,1,2021-08-01 21:12:35.651000,-255,-62,-65
2,3,1,2021-08-01 21:12:35.651000,-255,-56,-55
2,3,1,2021-08-01 21:12:35.651000,-255,-65,-64
2,3,1,2021-08-01 21:12:35.651000,-255,-57,-55
2,3,1,2021-08-01 21:13:35.651000,-88,-63,-59
2,3,1,2021-08-01 21:13:35.651000,-88,-60,-56
2,3,1,2021-08-01 21:13:35.651000,-80,-60,-50
2,3,1,2021-08-01 21:13:35.651000,-80,-60,-56
2,3,1,2021-08-01 21:13:35.651000,-88,-255,-59
2,3,1,2021-08-01 21:13:35.651000,-80,-255,-58
2,3,1,2021-08-01 21:13:35.651000,-80,-255,-255
2,3,1,2021-08-01 21:13:35.651000,-90,-57,-64
2,3,1,2021-08-01 21:13:35.651000,-70,-64,-56
2,3,1,2021-08-01 21:13:35.651000,-68,-57,-66
2,3,1,2021-08-01 21:13:35.651000,-80,-64,-55
2,3,1,2021-08-01 21:13:35.651000,-69,-61,-64
2,3,1,2021-08-01 21:13:35.651000,-255,-79,-55
2,3,1,2021-08-01 21:13:35.651000,-255,-59,-255
2,3,1,2021-08-01 21:14:35.651000,-89,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-82,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-80,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-85,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-82,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-80,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-81,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-69,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-82,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-68,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-70,-255,-255
2,3,1,2021-08-01 21:14:35.651000,-69,-255,-255
1,2,1,2021-08-01 21:15:35.651000,-255,-255,-70
1,2,1,2021-08-01 21:15:35.651000,-255,-255,-63
1,2,1,2021-08-01 21:15:35.651000,-255,-255,-56
1,2,1,2021-08-01 21:15:35.651000,-255,-255,-68
1,2,1,2021-08-01 21:15:35.651000,-255,-255,-68
1,2,1,2021-08-01 21:15:35.651000,-255,-255,-58
1,2,1,2021-08-01 21:15:35.651000,-255,-255,-64
1,2,1,2021-08-01 21:15:35.651000,-255,-255,-70
1,2,1,2021-08-01 21:15:35.651000,-255,-255,-58
1,2,1,2021-08-01 21:15:35.651000,-255,-255,-70
2,2,1,2021-08-01 21:16:35.651000,-81,-64,-57
2,2,1,2021-08-01 21:16:35.651000,-80,-68,-69
2,2,1,2021-08-01 21:16:35.651000,-79,-69,-58
2,2,1,2021-08-01 21:16:35.651000,-255,-64,-69
2,2,1,2021-08-01 21:16:35.651000,-255,-68,-58
2,2,1,2021-08-01 21:16:35.651000,-255,-64,-58
2,2,1,2021-08-01 21:16:35.651000,-78,-56,-54
2,2,1,2021-08-01 21:16:35.651000,-76,-48,-76
2,2,1,2021-08-01 21:16:35.651000,-82,-58,-55
2,2,1,2021-08-01 21:16:35.651000,-74,-56,-56
2,2,1,2021-08-01 21:16:35.651000,-255,-49,-255
2,2,1,2021-08-01 21:16:35.651000,-255,-51,-255
2,2,1,2021-08-01 21:16:35.651000,-255,-57,-255
2,2,1,2021-08-01 21:17:35.651000,-79,-64,-255
2,2,1,2021-08-01 21:17:35.651000,-80,-68,-255
2,2,1,2021-08-01 21:17:35.651000,-82,-64,-255
2,2,1,2021-08-01 21:17:35.651000,-88,-69,-255
2,2,1,2021-08-01 21:17:35.651000,-85,-68,-255
2,2,1,2021-08-01 21:17:35.651000,-255,-69,-255
2,2,1,2021-08-01 21:17:35.651000,-255,-64,-255
2,2,1,2021-08-01 21:17:35.651000,-80,-56,-255
2,2,1,2021-08-01 21:17:35.651000,-78,-49,-255
2,2,1,2021-08-01 21:17:35.651000,-75,-46,-255
2,2,1,2021-08-01 21:17:35.651000,-79,-57,-255
2,2,1,2021-08-01 21:17:35.651000,-74,-51,-255
2,2,1,2021-08-01 21:17:35.651000,-74,-51,-255
2,2,1,2021-08-01 21:17:35.651000,-77,-255,-255
2,2,1,2021-08-01 21:17:35.651000,-82,-255,-255
1,2,1,2021-08-01 21:18:35.651000,-255,-255,-75
1,2,1,2021-08-01 21:18:35.651000,-255,-255,-95
1,2,1,2021-08-01 21:18:35.651000,-255,-255,-77
1,2,1,2021-08-01 21:18:35.651000,-255,-255,-81
1,2,1,2021-08-01 21:18:35.651000,-255,-255,-56
1,2,1,2021-08-01 21:18:35.651000,-255,-255,-56
1,2,1,2021-08-01 21:18:35.651000,-255,-255,-69
1,2,1,2021-08-01 21:18:35.651000,-255,-255,-58
1,2,1,2021-08-01 21:18:35.651000,-255,-255,-58
1,2,1,2021-08-01 21:18:35.651000,-255,-255,-70
3,3,1,2021-08-01 21:19:35.651000,-255,-66,-255
3,3,1,2021-08-01 21:19:35.651000,-255,-63,-255
3,3,1,2021-08-01 21:19:35.651000,-255,-66,-255
3,3,1,2021-08-01 21:19:35.651000,-255,-58,-255
3,3,1,2021-08-01 21:19:35.651000,-255,-63,-255
3,3,1,2021-08-01 21:19:35.651000,-255,-68,-255
3,3,1,2021-08-01 21:19:35.651000,-255,-62,-255
3,3,1,2021-08-01 21:19:35.651000,-255,-63,-255
3,3,1,2021-08-01 21:19:35.651000,-255,-65,-255
3,3,1,2021-08-01 21:19:35.651000,-255,-62,-255
3,3,1,2021-08-01 21:19:35.651000,-255,-63,-255
3,3,1,2021-08-01 21:20:35.651000,-79,-255,-64
3,3,1,2021-08-01 21:20:35.651000,-79,-255,-71
3,3,1,2021-08-01 21:20:35.651000,-76,-255,-72
3,3,1,2021-08-01 21:20:35.651000,-76,-255,-71
3,3,1,2021-08-01 21:20:35.651000,-80,-255,-65
3,3,1,2021-08-01 21:20:35.651000,-255,-255,-95
3,3,1,2021-08-01 21:20:35.651000,-79,-255,-58
3,3,1,2021-08-01 21:20:35.651000,-79,-255,-64
3,3,1,2021-08-01 21:20:35.651000,-80,-255,-63
3,3,1,2021-08-01 21:20:35.651000,-80,-255,-58
3,3,1,2021-08-01 21:20:35.651000,-80,-255,-63
3,3,1,2021-08-01 21:20:35.651000,-255,-255,-57
3,2,1,2021-08-01 21:21:35.651000,-79,-255,-58
3,2,1,2021-08-01 21:21:35.651000,-79,-255,-58
3,2,1,2021-08-01 21:21:35.651000,-80,-255,-64
3,2,1,2021-08-01 21:21:35.651000,-255,-255,-58
3,2,1,2021-08-01 21:21:35.651000,-255,-255,-64
3,2,1,2021-08-01 21:21:35.651000,-255,-255,-63
3,2,1,2021-08-01 21:21:35.651000,-255,-255,-65
3,2,1,2021-08-01 21:21:35.651000,-81,-255,-72
3,2,1,2021-08-01 21:21:35.651000,-76,-255,-73
3,2,1,2021-08-01 21:21:35.651000,-74,-255,-65
3,2,1,2021-08-01 21:21:35.651000,-76,-255,-72
3,2,1,2021-08-01 21:21:35.651000,-75,-255,-65
3,2,1,2021-08-01 21:21:35.651000,-79,-255,-255
3,2,1,2021-08-01 21:21:35.651000,-76,-255,-255
