x,y,z,date,scanner1,scanner2,scanner3,scanner4
1,1,1,2021-06-08 15:53:30.265000,-90,-76,-69,-79
1,1,1,2021-06-08 15:53:30.265000,-90,-77,-97,-78
1,1,1,2021-06-08 15:53:30.265000,-91,-78,-83,-85
1,1,1,2021-06-08 15:53:30.265000,-255,-77,-80,-84
1,1,1,2021-06-08 15:53:30.265000,-255,-81,-72,-86
1,1,1,2021-06-08 15:53:30.265000,-255,-76,-255,-85
1,1,1,2021-06-08 15:53:30.265000,-255,-255,-255,-83
1,1,1,2021-06-08 15:54:30.265000,-92,-79,-91,-84
1,1,1,2021-06-08 15:54:30.265000,-90,-80,-68,-84
1,1,1,2021-06-08 15:54:30.265000,-90,-80,-67,-86
1,1,1,2021-06-08 15:54:30.265000,-91,-79,-90,-83
1,1,1,2021-06-08 15:54:30.265000,-92,-255,-69,-79
1,1,1,2021-06-08 15:54:30.265000,-255,-255,-76,-255
1,1,1,2021-06-08 15:54:30.265000,-255,-255,-67,-255
1,1,1,2021-06-08 15:55:30.265000,-92,-79,-66,-79
1,1,1,2021-06-08 15:55:30.265000,-91,-80,-69,-84
1,1,1,2021-06-08 15:55:30.265000,-90,-80,-68,-84
1,1,1,2021-06-08 15:55:30.265000,-92,-255,-67,-82
1,1,1,2021-06-08 15:55:30.265000,-91,-255,-76,-84
1,1,1,2021-06-08 15:55:30.265000,-255,-255,-77,-83
1,1,1,2021-06-08 15:55:30.265000,-255,-255,-255,-85
1,1,1,2021-06-08 15:56:30.265000,-91,-79,-69,-79
1,1,1,2021-06-08 15:56:30.265000,-89,-79,-68,-84
1,1,1,2021-06-08 15:56:30.265000,-90,-78,-69,-83
1,1,1,2021-06-08 15:56:30.265000,-93,-80,-76,-84
1,1,1,2021-06-08 15:56:30.265000,-255,-80,-67,-85
1,1,1,2021-06-08 15:56:30.265000,-255,-255,-77,-79
1,1,1,2021-06-08 15:57:30.265000,-91,-81,-69,-84
1,1,1,2021-06-08 15:57:30.265000,-90,-79,-68,-82
1,1,1,2021-06-08 15:57:30.265000,-89,-80,-76,-84
1,1,1,2021-06-08 15:57:30.265000,-255,-80,-68,-78
1,1,1,2021-06-08 15:57:30.265000,-255,-77,-67,-255
1,1,1,2021-06-08 15:57:30.265000,-255,-255,-77,-255
1,1,1,2021-06-08 15:57:30.265000,-255,-255,-68,-255
1,1,1,2021-06-08 15:57:30.265000,-255,-255,-77,-255
3,1,1,2021-06-08 15:59:30.265000,-86,-255,-77,-82
3,1,1,2021-06-08 15:59:30.265000,-88,-255,-72,-84
3,1,1,2021-06-08 15:59:30.265000,-89,-255,-62,-79
3,1,1,2021-06-08 15:59:30.265000,-255,-255,-66,-80
3,1,1,2021-06-08 15:59:30.265000,-255,-255,-70,-255
