x,y,z,date,scanner1,scanner2,scanner3,scanner4,dist1,dist2,dist3,dist4
1,1,1,2021-06-08 15:53:30.265000,-90,-76,-69,-79,10.0000,3.4145,1.9953,4.2987
1,1,1,2021-06-08 15:53:30.265000,-90,-77,-97,-78,10.0000,3.6869,17.1133,3.9811
1,1,1,2021-06-08 15:53:30.265000,-91,-78,-83,-85,10.7978,3.9811,5.8434,6.8129
1,1,1,2021-06-08 15:53:30.265000,-255,-77,-80,-84,3162277.6602,3.6869,4.6416,6.3096
1,1,1,2021-06-08 15:53:30.265000,-255,-81,-72,-86,3162277.6602,5.0119,2.5119,7.3564
1,1,1,2021-06-08 15:53:30.265000,-255,-76,-255,-85,3162277.6602,3.4145,3162277.6602,6.8129
1,1,1,2021-06-08 15:53:30.265000,-255,-255,-255,-83,3162277.6602,3162277.6602,3162277.6602,5.8434
1,1,1,2021-06-08 15:54:30.265000,-92,-79,-91,-84,11.6591,4.2987,10.7978,6.3096
1,1,1,2021-06-08 15:54:30.265000,-90,-80,-68,-84,10.0000,4.6416,1.8478,6.3096
1,1,1,2021-06-08 15:54:30.265000,-90,-80,-67,-86,10.0000,4.6416,1.7113,7.3564
1,1,1,2021-06-08 15:54:30.265000,-91,-79,-90,-83,10.7978,4.2987,10.0000,5.8434
1,1,1,2021-06-08 15:54:30.265000,-92,-255,-69,-79,11.6591,3162277.6602,1.9953,4.2987
1,1,1,2021-06-08 15:54:30.265000,-255,-255,-76,-255,3162277.6602,3162277.6602,3.4145,3162277.6602
1,1,1,2021-06-08 15:54:30.265000,-255,-255,-67,-255,3162277.6602,3162277.6602,1.7113,3162277.6602
1,1,1,2021-06-08 15:55:30.265000,-92,-79,-66,-79,11.6591,4.2987,1.5849,4.2987
1,1,1,2021-06-08 15:55:30.265000,-91,-80,-69,-84,10.7978,4.6416,1.9953,6.3096
1,1,1,2021-06-08 15:55:30.265000,-90,-80,-68,-84,10.0000,4.6416,1.8478,6.3096
1,1,1,2021-06-08 15:55:30.265000,-92,-255,-67,-82,11.6591,3162277.6602,1.7113,5.4117
1,1,1,2021-06-08 15:55:30.265000,-91,-255,-76,-84,10.7978,3162277.6602,3.4145,6.3096
1,1,1,2021-06-08 15:55:30.265000,-255,-255,-77,-83,3162277.6602,3162277.6602,3.6869,5.8434
1,1,1,2021-06-08 15:55:30.265000,-255,-255,-255,-85,3162277.6602,3162277.6602,3162277.6602,6.8129
1,1,1,2021-06-08 15:56:30.265000,-91,-79,-69,-79,10.7978,4.2987,1.9953,4.2987
1,1,1,2021-06-08 15:56:30.265000,-89,-79,-68,-84,9.2612,4.2987,1.8478,6.3096
1,1,1,2021-06-08 15:56:30.265000,-90,-78,-69,-83,10.0000,3.9811,1.9953,5.8434
1,1,1,2021-06-08 15:56:30.265000,-93,-80,-76,-84,12.5893,4.6416,3.4145,6.3096
1,1,1,2021-06-08 15:56:30.265000,-255,-80,-67,-85,3162277.6602,4.6416,1.7113,6.8129
1,1,1,2021-06-08 15:56:30.265000,-255,-255,-77,-79,3162277.6602,3162277.6602,3.6869,4.2987
1,1,1,2021-06-08 15:57:30.265000,-91,-81,-69,-84,10.7978,5.0119,1.9953,6.3096
1,1,1,2021-06-08 15:57:30.265000,-90,-79,-68,-82,10.0000,4.2987,1.8478,5.4117
1,1,1,2021-06-08 15:57:30.265000,-89,-80,-76,-84,9.2612,4.6416,3.4145,6.3096
1,1,1,2021-06-08 15:57:30.265000,-255,-80,-68,-78,3162277.6602,4.6416,1.8478,3.9811
1,1,1,2021-06-08 15:57:30.265000,-255,-77,-67,-255,3162277.6602,3.6869,1.7113,3162277.6602
1,1,1,2021-06-08 15:57:30.265000,-255,-255,-77,-255,3162277.6602,3162277.6602,3.6869,3162277.6602
1,1,1,2021-06-08 15:57:30.265000,-255,-255,-68,-255,3162277.6602,3162277.6602,1.8478,3162277.6602
1,1,1,2021-06-08 15:57:30.265000,-255,-255,-77,-255,3162277.6602,3162277.6602,3.6869,3162277.6602
3,1,1,2021-06-08 15:59:30.265000,-86,-255,-77,-82,7.3564,3162277.6602,3.6869,5.4117
3,1,1,2021-06-08 15:59:30.265000,-88,-255,-72,-84,8.5770,3162277.6602,2.5119,6.3096
3,1,1,2021-06-08 15:59:30.265000,-89,-255,-62,-79,9.2612,3162277.6602,1.1659,4.2987
3,1,1,2021-06-08 15:59:30.265000,-255,-255,-66,-80,3162277.6602,3162277.6602,1.5849,4.6416
3,1,1,2021-06-08 15:59:30.265000,-255,-255,-70,-255,3162277.6602,3162277.6602,2.1544,3162277.6602
3,1,1,2021-06-08 15:59:30.265000,-255,-255,-62,-255,3162277.6602,3162277.6602,1.1659,3162277.6602
3,1,1,2021-06-08 16:00:30.265000,-93,-255,-70,-81,12.5893,3162277.6602,2.1544,5.0119
3,1,1,2021-06-08 16:00:30.265000,-88,-255,-63,-81,8.5770,3162277.6602,1.2589,5.0119
